rank,score,source,source_id,url,address,sector,price,price_qualifier,bedrooms,sqft,property_type,lease_years,lease_confidence,short_lease_flag,cash_only,ground_rent,ground_rent_escalating,service_charge,v_short_est,v_long_est,v_long_basis,v_long_n_comps,implied_discount,premium_old,premium_new,sdlt,costs,net_gain_old,net_gain_new,mortgageable_flag,new_build,period_conversion,above_commercial,ex_local,auction_lot,agent,date_added,reduced,epc_rating,adjustments,note
1,83380,onthemarket,19956331,https://www.onthemarket.com/details/19956331/,"Belmont Road, Tottenham, London",,325000,Offers in excess of,2,,Flat,80.0,explicit_years,False,False,,,,325000,420000,area,481,0.226,8369,8369,6250,13250,73380,73380,True,False,True,False,False,False,Kings Group - Tottenham,,True,,"{""period_conversion"": 6000, ""reduced"": 4000}","Lease ~80y (explicit). Evidence: ""ies, and well-regarded schools. Council Tax Band B Lease - 80 Years Remaining Construction Type - Standard (Br"". Long-lease value ~£420,000 (area, n=481); implied discount 23%. Premium est: £8,369 old law / £8,369 post-reform. Net gain: £73,380 (reform) / £73,380 (old law) after £13,250 costs incl SDLT. Period conversion. Price reduced."
2,82030,onthemarket,19967121,https://www.onthemarket.com/details/19967121/,"Belmont Road, Seven Sisters , London, N15",,325000,Offers over,2,,Apartment,79.0,explicit_years,False,False,61.0,,,325000,420000,area,481,0.226,18551,9719,6250,13250,63198,72030,True,False,True,False,False,False,Knights Residential - Tottenham,,True,,"{""period_conversion"": 6000, ""reduced"": 4000}","Lease ~79y (explicit). Evidence: ""verground services, are both conveniently close. Chain Free 79 Years lease remaining Ground Floor Flat 63 sqm "". Long-lease value ~£420,000 (area, n=481); implied discount 23%. Premium est: £18,551 old law / £9,719 post-reform. Net gain: £72,030 (reform) / £63,198 (old law) after £13,250 costs incl SDLT. GR £61/yr. Period conversion. Price reduced."
3,73579,rightmove,91038240,https://www.rightmove.co.uk/properties/91038240,"Belmont Road, Tottenham, London",N15 3,325000,Offers in Excess of,2,,Flat,80.0,explicit_years,True,False,,,,325000,410000,sector,66,0.207,8170,8170,6250,13250,63579,63579,True,False,True,False,False,False,Kings Group,2026-07-17,True,,"{""period_conversion"": 6000, ""reduced"": 4000}","Lease ~80y (explicit). Evidence: ""Rightmove structured field: 80 years remaining"". Long-lease value ~£410,000 (sector, n=66); implied discount 21%. Premium est: £8,170 old law / £8,170 post-reform. Net gain: £63,579 (reform) / £63,579 (old law) after £13,250 costs incl SDLT. Period conversion. Price reduced."
4,72239,rightmove,91103184,https://www.rightmove.co.uk/properties/91103184,"Belmont Road, Seven Sisters , London, N15",N15 3,325000,Offers Over,2,678.0,Apartment,79.0,explicit_years,True,False,61.0,,,325000,410000,sector,66,0.207,18121,9510,6250,13250,53628,62239,True,False,True,False,False,False,Knights Residential,2026-07-20,True,,"{""period_conversion"": 6000, ""reduced"": 4000}","Lease ~79y (explicit). Evidence: ""Rightmove structured field: 79 years remaining"". Long-lease value ~£410,000 (sector, n=66); implied discount 21%. Premium est: £18,121 old law / £9,510 post-reform. Net gain: £62,239 (reform) / £53,628 (old law) after £13,250 costs incl SDLT. GR £61/yr. Period conversion. Price reduced."
5,46920,rightmove,92312202,https://www.rightmove.co.uk/properties/92312202,"Copperfield Drive, London, N15",N15 4,275000,,1,,Flat,63.0,explicit_years,True,True,,,1968.0,275000,344400,area,481,0.202,36725,15729,3750,10750,21924,42920,False,False,False,False,False,False,Knights Residential,2026-08-24,True,,"{""reduced"": 4000}","Lease ~63y (explicit). Evidence: ""Rightmove structured field: 63 years remaining"". Likely cash/bridging only. Long-lease value ~£344,400 (area, n=481); implied discount 20%. Premium est: £36,725 old law / £15,729 post-reform. Net gain: £42,920 (reform) / £21,924 (old law) after £10,750 costs incl SDLT. SC £1,968/yr. Price reduced."
6,46920,onthemarket,20104483,https://www.onthemarket.com/details/20104483/,"Copperfield Drive, London, N15",,275000,,1,,Flat,63.0,explicit_years,False,True,,,1968.0,275000,344400,area,481,0.202,36725,15729,3750,10750,21924,42920,False,False,False,False,False,False,Knights Residential - Tottenham,,True,,"{""reduced"": 4000}","Lease ~63y (explicit). Evidence: ""ok your viewing Our Vendor has informed us: Lease: Approximately 63 Years remaining (Extended lease on complet"". Likely cash/bridging only. Long-lease value ~£344,400 (area, n=481); implied discount 20%. Premium est: £36,725 old law / £15,729 post-reform. Net gain: £42,920 (reform) / £21,924 (old law) after £10,750 costs incl SDLT. SC £1,968/yr. Price reduced."
7,-41302,rightmove,92181723,https://www.rightmove.co.uk/properties/92181723,"Nightingale Road, LONDON",N22 8,350000,,2,675.0,Apartment,79.0,explicit_years,True,False,300.0,,2500.0,350000,345000,street,4,-0.014,17148,11802,7500,14500,-36648,-31302,True,False,False,False,False,False,Spicerhaart,2026-08-19,False,,"{""ground_rent_over_250"": -10000}","Lease ~79y (explicit). Evidence: ""Rightmove structured field: 79 years remaining"". Long-lease value ~£345,000 (street, n=4); implied discount -1%. Premium est: £17,148 old law / £11,802 post-reform. Net gain: £-31,302 (reform) / £-36,648 (old law) after £14,500 costs incl SDLT. GR £300/yr. SC £2,500/yr. Ground rent above £250 (AST trap pre-reform)."
8,-65247,rightmove,174852689,https://www.rightmove.co.uk/properties/174852689,"Birkbeck Mansions, Hornsey, N8",N8 7,375000,Offers in Excess of,1,538.0,Flat,47.0,explicit_years,True,True,50.0,,1800.0,375000,350140,sector,171,-0.071,72615,35637,8750,15750,-113225,-76247,False,False,True,False,False,False,Philip Alexander,2026-04-23,False,,"{""period_conversion"": 6000, ""listing_age_over_90d"": 5000}","Lease ~47y (explicit). Evidence: ""Rightmove structured field: 47 years remaining"". Likely cash/bridging only. Long-lease value ~£350,140 (sector, n=171); implied discount -7%. Premium est: £72,615 old law / £35,637 post-reform. Net gain: £-76,247 (reform) / £-113,225 (old law) after £15,750 costs incl SDLT. GR £50/yr. SC £1,800/yr. Period conversion. On the market >90 days — negotiate."
9,-156153,rightmove,167017073,https://www.rightmove.co.uk/properties/167017073,"Elder Avenue, London, N8",N8 8,450000,,1,550.0,Flat,46.0,explicit_years,True,True,0.0,,,450000,344400,area,481,-0.307,73819,36053,12500,19500,-198919,-161153,False,False,False,False,False,False,Countrywide Hamptons Sales - Connells,2025-09-15,False,,"{""listing_age_over_90d"": 5000}","Lease ~46y (explicit). Evidence: ""Rightmove structured field: 46 years remaining"". Likely cash/bridging only. Long-lease value ~£344,400 (area, n=481); implied discount -31%. Premium est: £73,819 old law / £36,053 post-reform. Net gain: £-161,153 (reform) / £-198,919 (old law) after £19,500 costs incl SDLT. On the market >90 days — negotiate."
10,-184463,onthemarket,18816440,https://www.onthemarket.com/details/18816440/,"Altior Court, Shepherds Hill, London",,450000,,1,,Apartment,38.0,inferred,True,True,150.0,,2886.0,450000,344400,area,481,-0.307,101314,55363,12500,19500,-226414,-180463,False,False,False,False,False,False,Chancellors - Hampstead Sales,,True,,"{""service_charge_over_2500"": -8000, ""reduced"": 4000}","Lease ~38y (inferred). Evidence: ""eluxe Reception Room Communal Gardens Lock Up Garage (short lease 38 years) South Facing Double Glazed Windows"". Likely cash/bridging only. Long-lease value ~£344,400 (area, n=481); implied discount -31%. Premium est: £101,314 old law / £55,363 post-reform. Net gain: £-180,463 (reform) / £-226,414 (old law) after £19,500 costs incl SDLT. GR £150/yr. SC £2,886/yr. High service charge. Price reduced."
11,6000,onthemarket,19305231,https://www.onthemarket.com/details/19305231/,"Wightman Road, Hornsey, N8",,315000,,1,,Flat,,flag_only,True,True,,,,315000,344400,area,481,0.085,,,5750,12750,,,,False,True,False,False,False,Philip Alexander - Crouch End,,False,,"{""period_conversion"": 6000}","Short lease mentioned but no term found — verify with agent. Evidence: ""nversion Chain-free sale for a smooth and swift transaction Short lease being extended by the seller Bright re"". Likely cash/bridging only. Long-lease value ~£344,400 (area, n=481); implied discount 8%. Period conversion."
