ct_id,name,country,asset_type,lon,lat,capacity_t,activity_t,capacity_factor
45257094,Golmud (Qarhan) Chemical Complex,CHN,ammonia,95.3066556,36.810561,7257479.999999998,5047243.9702874785,0.695454065362561
45257072,Donaldsonville Nitrogen Complex,USA,ammonia,-90.952427,30.0870813,3932649.999999999,2831934.109333954,0.720108351705327
33998974,CHN-Cangzhou_ammonia,CHN,ammonia,116.816648582076,38.2781178932237,3704508,2576315.1487681298,0.6954540653625609
45257194,Togliatti Chemical Complex,RUS,ammonia,49.4330817,53.5584928,3600000,1913102.4820910452,0.5314173561364015
33999129,CHN-Ordos_ammonia,CHN,ammonia,108.618039637608,39.4089113608289,3534156,2457843.157825487,0.695454065362561
45257196,Togliattiazot,RUS,ammonia,49.4703019,53.552341,3265870,1735540.0008851897,0.5314173561364015
57033240,CHN-Fuyang_ammonia,CHN,ammonia,115.701331527837,32.9160539178019,3159420.0000000005,2053809.0625267236,0.6500588913556042
45257082,Fuyang (Linquan) Chemical Complex,CHN,ammonia,115.282405,33.0663112,2899999.999999999,2016816.789551427,0.6954540653625613
33999061,CHN-Dezhou_ammonia,CHN,ammonia,116.644993658832,37.2439923419329,2890380,2010126.521442639,0.6954540653625609
33999226,RUS-Novgorodskiy rayon_ammonia,RUS,ammonia,31.4446659794503,58.6002956645814,2712408,1441420.6881232248,0.5314173561364016
33999157,CHN-Zaozhuang_ammonia,CHN,ammonia,117.310051940638,35.0328249849787,2593403.9999999995,1803593.3549275273,0.6954540653625612
33999102,RUS-Cherepovetskiy rayon_ammonia,RUS,ammonia,37.8888069916324,59.1189711186671,2547876.0000000005,1353985.5276833903,0.5314173561364015
45257104,Hazira Fertilizer Complex,IND,ammonia,72.7050975,21.1663207,2334999.9999999995,2058710.1218591812,0.8816745703893711
45257122,Khairpur (Daharki) Fertilizer Complex,PAK,ammonia,69.6906842,28.0474159,2280000,1915667.4228511758,0.8402050100224455
45257081,Fuquan (Machangping) Coal Chemicals,CHN,ammonia,107.513673,26.6325352,2267959.9999999995,1577262.0020796743,0.6954540653625614
45257029,Abu Qir Fertilizer Complex,EGY,ammonia,30.0932573,31.2716622,2200000,1733506.4738587225,0.7879574881176011
45257213,Yara Porsgrunn,NOR,ammonia,9.6348845,59.1163105,2086519.9999999998,330000.00000000006,0.1581580813986926
45257192,Thal Fertilizer Complex,IND,ammonia,72.8686683,18.7008168,2000000,1763349.140778742,0.881674570389371
45257117,Kakinada Fertilizer Complex,IND,ammonia,82.2650541,16.9741912,1999999.9999999998,1763349.140778742,0.8816745703893711
45257062,Damietta Fertilizers Complex,EGY,ammonia,31.7799027,31.4629882,1999999.9999999998,1575914.9762352023,0.7879574881176012
45257214,Yara Sluiskil,NLD,ammonia,3.8530853,51.2778267,1900000.0000000002,1326352.530541012,0.6980802792321116
33998956,CHN-Yuncheng_ammonia,CHN,ammonia,111.086285835453,35.1948382680256,1899288,1320867.5608943277,0.6954540653625609
45257239,Hengam Ammonia and Urea Petrochemical Complex,IRN,ammonia,52.519171552746,27.5820987255843,1881000,1628068.0061823798,0.8655332302936628
33999154,CHN-Tai'an_ammonia,CHN,ammonia,117.034785288308,36.0010139399307,1830647.9999999998,1273131.5938478415,0.695454065362561
45257040,Bareilly Fertilizer Complex,IND,ammonia,79.2427051,28.2282627,1814190.0000000002,1599525.1888546932,0.881674570389371
45257031,Allahabad (Phulpur) Fertilizer Complex,IND,ammonia,82.0477413,25.5388885,1697999.9999999998,1497083.4205211517,0.881674570389371
45257115,Jonava Fertilizer,LTU,ammonia,24.3340412,55.0855039,1650000,422999.99999999994,0.25636363636363635
33999155,CHN-Luohe_ammonia,CHN,ammonia,113.902533665695,33.6567911821532,1647576.0000000002,1145813.427193787,0.6954540653625609
45257036,Azomures Targu Mures Fertilizers,ROU,ammonia,24.5021878,46.5157884,1632930,38000,0.023271052647694634
45257234,Brunsbüttel,DEU,ammonia,9.1161823,53.9140811,1570000.0000000002,920344.8275862065,0.5862068965517238
45257136,Luzhou (Naxi) Chemical Fertilizers,CHN,ammonia,105.376548,28.7810286,1525000,1060567.4496779053,0.6954540653625608
45257135,Linz Melamine and Fertilizers Complex,AUT,ammonia,14.3307955,48.2895958,1499999.9999999998,380000,0.25333333333333335
