geo,month,index
DE,2017-01,114.4
DE,2017-02,108.9
DE,2017-03,127.8
DE,2017-04,115.2
DE,2017-05,108.6
DE,2017-06,111.5
DE,2017-07,100.4
DE,2017-08,99.3
DE,2017-09,99.2
DE,2017-10,116.3
DE,2017-11,115.9
DE,2017-12,114.8
DE,2018-01,120.2
DE,2018-02,112.1
DE,2018-03,115.8
DE,2018-04,105.7
DE,2018-05,103.4
DE,2018-06,100.6
DE,2018-07,96.6
DE,2018-08,100.8
DE,2018-09,86.9
DE,2018-10,104.3
DE,2018-11,106.7
DE,2018-12,102.2
DE,2019-01,120.6
DE,2019-02,108.3
DE,2019-03,108.5
DE,2019-04,104.4
DE,2019-05,105.6
DE,2019-06,107.6
DE,2019-07,100.4
DE,2019-08,105.7
DE,2019-09,94.3
DE,2019-10,105.7
DE,2019-11,102.6
DE,2019-12,96.8
DE,2020-01,108.0
DE,2020-02,107.2
DE,2020-03,108.7
DE,2020-04,95.1
DE,2020-05,105.0
DE,2020-06,109.4
DE,2020-07,103.4
DE,2020-08,89.2
DE,2020-09,91.2
DE,2020-10,110.1
DE,2020-11,116.6
DE,2020-12,108.9
DE,2021-01,112.9
DE,2021-02,102.3
DE,2021-03,112.9
DE,2021-04,102.1
DE,2021-05,114.0
DE,2021-06,101.0
DE,2021-07,101.4
DE,2021-08,93.8
DE,2021-09,72.1
DE,2021-10,89.1
DE,2021-11,98.8
DE,2021-12,99.6
DE,2022-01,114.8
DE,2022-02,105.7
DE,2022-03,106.9
DE,2022-04,99.8
DE,2022-05,101.6
DE,2022-06,88.0
DE,2022-07,82.0
DE,2022-08,54.7
DE,2022-09,73.2
DE,2022-10,79.5
DE,2022-11,80.8
DE,2022-12,66.6
DE,2023-01,84.9
DE,2023-02,81.8
DE,2023-03,81.8
DE,2023-04,72.2
DE,2023-05,80.4
DE,2023-06,91.6
DE,2023-07,84.3
DE,2023-08,96.3
DE,2023-09,95.9
DE,2023-10,103.9
DE,2023-11,108.5
DE,2023-12,91.9
DE,2024-01,81.9
DE,2024-02,87.8
DE,2024-03,96.4
DE,2024-04,82.9
DE,2024-05,87.2
DE,2024-06,96.3
DE,2024-07,86.9
DE,2024-08,87.8
DE,2024-09,80.3
DE,2024-10,89.6
DE,2024-11,94.8
DE,2024-12,90.9
DE,2025-01,95.1
DE,2025-02,82.4
DE,2025-03,101.7
DE,2025-04,84.4
DE,2025-05,82.6
DE,2025-06,83.6
DE,2025-07,79.9
DE,2025-08,77.7
DE,2025-09,69.6
DE,2025-10,79.8
DE,2025-11,82.9
DE,2025-12,85.6
DE,2026-01,93.5
DE,2026-02,87.4
DE,2026-03,99.6
DE,2026-04,87.3
DE,2026-05,100.0
DE,2026-06,86.5
EL,2017-01,118.7
EL,2017-02,117.9
EL,2017-03,119.7
EL,2017-04,97.4
EL,2017-05,84.7
EL,2017-06,93.2
EL,2017-07,85.3
EL,2017-08,85.4
EL,2017-09,92.5
EL,2017-10,92.0
EL,2017-11,91.8
EL,2017-12,91.3
EL,2018-01,98.4
EL,2018-02,103.5
EL,2018-03,102.3
EL,2018-04,83.2
EL,2018-05,85.2
EL,2018-06,90.8
EL,2018-07,96.5
EL,2018-08,93.6
EL,2018-09,99.3
EL,2018-10,86.7
EL,2018-11,99.7
EL,2018-12,102.6
EL,2019-01,101.6
EL,2019-02,102.4
EL,2019-03,106.7
EL,2019-04,90.1
EL,2019-05,106.2
EL,2019-06,81.5
EL,2019-07,95.6
EL,2019-08,89.6
EL,2019-09,88.6
EL,2019-10,99.2
EL,2019-11,100.0
EL,2019-12,101.0
EL,2020-01,102.9
EL,2020-02,125.9
EL,2020-03,121.0
EL,2020-04,105.4
EL,2020-05,113.9
EL,2020-06,110.6
EL,2020-07,89.4
EL,2020-08,80.7
EL,2020-09,115.1
EL,2020-10,113.5
EL,2020-11,113.4
EL,2020-12,135.5
EL,2021-01,129.0
EL,2021-02,122.0
EL,2021-03,130.4
EL,2021-04,94.6
EL,2021-05,80.1
EL,2021-06,61.1
EL,2021-07,44.6
EL,2021-08,70.5
EL,2021-09,105.9
EL,2021-10,117.9
EL,2021-11,124.9
EL,2021-12,119.0
EL,2022-01,105.5
EL,2022-02,115.6
EL,2022-03,118.7
EL,2022-04,89.8
EL,2022-05,120.3
EL,2022-06,95.6
EL,2022-07,108.6
EL,2022-08,97.4
EL,2022-09,122.9
EL,2022-10,120.8
EL,2022-11,122.0
EL,2022-12,119.5
EL,2023-01,70.8
EL,2023-02,65.6
EL,2023-03,88.5
EL,2023-04,52.4
EL,2023-05,53.1
EL,2023-06,79.2
EL,2023-07,84.5
EL,2023-08,98.9
EL,2023-09,76.6
EL,2023-10,74.3
EL,2023-11,66.0
EL,2023-12,109.6
EL,2024-01,94.2
EL,2024-02,89.7
EL,2024-03,91.0
EL,2024-04,67.0
EL,2024-05,75.3
EL,2024-06,73.6
EL,2024-07,75.9
EL,2024-08,64.0
EL,2024-09,83.7
EL,2024-10,85.8
EL,2024-11,88.0
EL,2024-12,94.3
EL,2025-01,77.7
EL,2025-02,76.7
EL,2025-03,71.2
EL,2025-04,55.9
EL,2025-05,74.0
EL,2025-06,62.0
EL,2025-07,48.5
EL,2025-08,40.2
EL,2025-09,53.5
EL,2025-10,56.8
EL,2025-11,56.6
EL,2025-12,51.4
EL,2026-01,52.7
EL,2026-02,72.2
EL,2026-03,64.5
EL,2026-04,61.7
EL,2026-05,59.5
EL,2026-06,32.8
ES,2017-01,101.0
ES,2017-02,105.8
ES,2017-03,121.5
ES,2017-04,105.9
ES,2017-05,85.3
ES,2017-06,80.3
ES,2017-07,72.7
ES,2017-08,101.9
ES,2017-09,103.3
ES,2017-10,104.2
ES,2017-11,111.3
ES,2017-12,99.4
ES,2018-01,102.4
ES,2018-02,95.3
ES,2018-03,101.1
ES,2018-04,102.3
ES,2018-05,107.1
ES,2018-06,92.2
ES,2018-07,63.1
ES,2018-08,90.6
ES,2018-09,99.9
ES,2018-10,125.0
ES,2018-11,98.5
ES,2018-12,96.2
ES,2019-01,115.3
ES,2019-02,106.0
ES,2019-03,122.8
ES,2019-04,94.6
ES,2019-05,99.8
ES,2019-06,97.0
ES,2019-07,86.7
ES,2019-08,92.5
ES,2019-09,106.6
ES,2019-10,121.8
ES,2019-11,99.5
ES,2019-12,94.1
ES,2020-01,105.0
ES,2020-02,106.5
ES,2020-03,119.8
ES,2020-04,88.2
ES,2020-05,103.2
ES,2020-06,94.1
ES,2020-07,91.9
ES,2020-08,93.6
ES,2020-09,107.3
ES,2020-10,109.8
ES,2020-11,91.9
ES,2020-12,96.2
ES,2021-01,103.2
ES,2021-02,108.2
ES,2021-03,145.8
ES,2021-04,99.9
ES,2021-05,90.9
ES,2021-06,88.2
ES,2021-07,86.4
ES,2021-08,91.7
ES,2021-09,93.0
ES,2021-10,99.2
ES,2021-11,100.1
ES,2021-12,93.4
ES,2022-01,91.8
ES,2022-02,94.3
ES,2022-03,97.9
ES,2022-04,94.3
ES,2022-05,86.9
ES,2022-06,73.6
ES,2022-07,65.1
ES,2022-08,73.9
ES,2022-09,87.7
ES,2022-10,90.6
ES,2022-11,78.3
ES,2022-12,66.8
ES,2023-01,69.8
ES,2023-02,82.6
ES,2023-03,95.6
ES,2023-04,82.2
ES,2023-05,74.3
ES,2023-06,83.3
ES,2023-07,66.9
ES,2023-08,76.4
ES,2023-09,90.2
ES,2023-10,96.2
ES,2023-11,87.9
ES,2023-12,72.1
ES,2024-01,91.1
ES,2024-02,99.4
ES,2024-03,101.7
ES,2024-04,101.8
ES,2024-05,93.0
ES,2024-06,76.5
ES,2024-07,76.6
ES,2024-08,80.2
ES,2024-09,95.4
ES,2024-10,99.4
ES,2024-11,81.1
ES,2024-12,73.8
ES,2025-01,85.3
ES,2025-02,95.4
ES,2025-03,106.0
ES,2025-04,99.1
ES,2025-05,92.3
ES,2025-06,85.8
ES,2025-07,88.2
ES,2025-08,84.1
ES,2025-09,93.8
ES,2025-10,97.6
ES,2025-11,85.9
ES,2025-12,74.9
ES,2026-01,81.6
ES,2026-02,86.5
ES,2026-03,110.0
ES,2026-04,89.7
ES,2026-05,84.5
ES,2026-06,92.7
FR,2017-01,115.5
FR,2017-02,114.2
FR,2017-03,126.4
FR,2017-04,72.3
FR,2017-05,59.0
FR,2017-06,70.9
FR,2017-07,101.1
FR,2017-08,103.4
FR,2017-09,117.4
FR,2017-10,115.2
FR,2017-11,130.8
FR,2017-12,116.2
FR,2018-01,144.6
FR,2018-02,126.3
FR,2018-03,137.0
FR,2018-04,85.0
FR,2018-05,60.6
FR,2018-06,89.6
FR,2018-07,94.3
FR,2018-08,97.2
FR,2018-09,108.3
FR,2018-10,116.4
FR,2018-11,110.1
FR,2018-12,97.9
FR,2019-01,129.5
FR,2019-02,129.5
FR,2019-03,148.0
FR,2019-04,80.5
FR,2019-05,98.5
FR,2019-06,100.6
FR,2019-07,99.6
FR,2019-08,99.2
FR,2019-09,97.2
FR,2019-10,96.3
FR,2019-11,108.7
FR,2019-12,96.3
FR,2020-01,105.6
FR,2020-02,143.7
FR,2020-03,113.1
FR,2020-04,91.5
FR,2020-05,92.2
FR,2020-06,89.5
FR,2020-07,95.1
FR,2020-08,73.2
FR,2020-09,107.3
FR,2020-10,116.0
FR,2020-11,92.9
FR,2020-12,79.4
FR,2021-01,113.4
FR,2021-02,119.2
FR,2021-03,120.7
FR,2021-04,97.6
FR,2021-05,66.8
FR,2021-06,91.2
FR,2021-07,84.4
FR,2021-08,88.8
FR,2021-09,94.5
FR,2021-10,109.4
FR,2021-11,107.5
FR,2021-12,106.5
FR,2022-01,112.5
FR,2022-02,114.6
FR,2022-03,105.9
FR,2022-04,75.2
FR,2022-05,71.5
FR,2022-06,81.4
FR,2022-07,95.2
FR,2022-08,80.6
FR,2022-09,91.0
FR,2022-10,87.4
FR,2022-11,84.7
FR,2022-12,80.0
FR,2023-01,83.1
FR,2023-02,80.3
FR,2023-03,69.9
FR,2023-04,40.1
FR,2023-05,67.3
FR,2023-06,64.8
FR,2023-07,66.8
FR,2023-08,70.3
FR,2023-09,79.1
FR,2023-10,76.8
FR,2023-11,73.1
FR,2023-12,65.5
FR,2024-01,81.8
FR,2024-02,86.7
FR,2024-03,74.5
FR,2024-04,52.1
FR,2024-05,71.0
FR,2024-06,70.4
FR,2024-07,73.7
FR,2024-08,66.9
FR,2024-09,78.0
FR,2024-10,91.0
FR,2024-11,74.8
FR,2024-12,77.2
FR,2025-01,91.4
FR,2025-02,88.0
FR,2025-03,96.8
FR,2025-04,67.2
FR,2025-05,71.7
FR,2025-06,60.4
FR,2025-07,59.5
FR,2025-08,60.7
FR,2025-09,91.0
FR,2025-10,99.8
FR,2025-11,92.3
FR,2025-12,84.7
FR,2026-01,112.7
FR,2026-02,108.6
FR,2026-03,109.1
FR,2026-04,92.6
FR,2026-05,77.3
FR,2026-06,62.8
IT,2017-01,133.9
IT,2017-02,154.5
IT,2017-03,175.6
IT,2017-04,108.2
IT,2017-05,75.6
IT,2017-06,43.1
IT,2017-07,73.7
IT,2017-08,58.7
IT,2017-09,101.6
IT,2017-10,134.3
IT,2017-11,129.7
IT,2017-12,109.8
IT,2018-01,135.9
IT,2018-02,143.6
IT,2018-03,135.6
IT,2018-04,105.0
IT,2018-05,71.3
IT,2018-06,49.9
IT,2018-07,75.1
IT,2018-08,60.5
IT,2018-09,95.1
IT,2018-10,132.7
IT,2018-11,116.3
IT,2018-12,88.7
IT,2019-01,120.3
IT,2019-02,139.1
IT,2019-03,158.5
IT,2019-04,108.0
IT,2019-05,70.7
IT,2019-06,48.1
IT,2019-07,73.3
IT,2019-08,55.7
IT,2019-09,88.2
IT,2019-10,116.8
IT,2019-11,89.7
IT,2019-12,89.6
IT,2020-01,123.3
IT,2020-02,147.1
IT,2020-03,118.3
IT,2020-04,79.1
IT,2020-05,56.9
IT,2020-06,47.0
IT,2020-07,60.5
IT,2020-08,52.3
IT,2020-09,94.2
IT,2020-10,127.3
IT,2020-11,108.8
IT,2020-12,84.9
IT,2021-01,122.3
IT,2021-02,135.5
IT,2021-03,145.6
IT,2021-04,80.4
IT,2021-05,59.0
IT,2021-06,49.6
IT,2021-07,67.5
IT,2021-08,77.1
IT,2021-09,111.2
IT,2021-10,115.9
IT,2021-11,124.5
IT,2021-12,111.2
IT,2022-01,132.8
IT,2022-02,105.4
IT,2022-03,121.7
IT,2022-04,80.9
IT,2022-05,69.9
IT,2022-06,43.7
IT,2022-07,42.7
IT,2022-08,40.3
IT,2022-09,80.4
IT,2022-10,103.6
IT,2022-11,87.3
IT,2022-12,59.8
IT,2023-01,52.1
IT,2023-02,71.4
IT,2023-03,109.3
IT,2023-04,47.9
IT,2023-05,41.7
IT,2023-06,41.8
IT,2023-07,67.8
IT,2023-08,68.1
IT,2023-09,102.8
IT,2023-10,115.4
IT,2023-11,90.2
IT,2023-12,56.2
IT,2024-01,85.8
IT,2024-02,114.4
IT,2024-03,108.0
IT,2024-04,71.1
IT,2024-05,57.1
IT,2024-06,50.9
IT,2024-07,63.8
IT,2024-08,58.7
IT,2024-09,91.0
IT,2024-10,109.3
IT,2024-11,58.2
IT,2024-12,55.2
IT,2025-01,90.3
IT,2025-02,109.7
IT,2025-03,117.6
IT,2025-04,81.1
IT,2025-05,64.1
IT,2025-06,49.7
IT,2025-07,70.1
IT,2025-08,53.1
IT,2025-09,106.0
IT,2025-10,114.6
IT,2025-11,98.2
IT,2025-12,58.7
IT,2026-01,82.9
IT,2026-02,119.5
IT,2026-03,146.6
IT,2026-04,92.2
IT,2026-05,79.0
IT,2026-06,73.6
NL,2018-01,103.5
NL,2018-02,105.7
NL,2018-03,106.3
