safra,year,month,crush_t,vintage
2017,2017,4,42485179,_12022020
2017,2017,5,69704076,_12022020
2017,2017,6,86165928,_12022020
2017,2017,7,97663493,_12022020
2017,2017,8,83834209,_12022020
2017,2017,9,84749637,_12022020
2017,2017,10,61990373,_12022020
2017,2017,11,38191026,_12022020
2017,2017,12,12754809,_12022020
2017,2018,1,587184,_12022020
2017,2018,2,1307707,_12022020
2017,2018,3,9293290,_12022020
2018,2018,4,57852203,_12022020
2018,2018,5,74028130,_12022020
2018,2018,6,85927344,_12022020
2018,2018,7,89655845,_12022020
2018,2018,8,76188973,_12022020
2018,2018,9,64796339,_12022020
2018,2018,10,49837385,_12022020
2018,2018,11,35811251,_12022020
2018,2018,12,29163558,_12022020
2018,2019,1,1140431,_12022020
2018,2019,2,837344,_12022020
2018,2019,3,7462630,_12022020
2019,2019,4,47226263,_13092021
2019,2019,5,82892633,_13092021
2019,2019,6,88912832,_13092021
2019,2019,7,90597902,_13092021
2019,2019,8,90235202,_13092021
2019,2019,9,75169237,_13092021
2019,2019,10,70242345,_13092021
2019,2019,11,30812366,_13092021
2019,2019,12,3497428,_13092021
2019,2020,1,217695,_13092021
2019,2020,2,1061248,_13092021
2019,2020,3,9008666,_13092021
2020,2020,4,60325043,_14022023
2020,2020,5,85581457,_14022023
2020,2020,6,82380381,_14022023
2020,2020,7,98712471,_14022023
2020,2020,8,89230252,_14022023
2020,2020,9,88484529,_14022023
2020,2020,10,62859567,_14022023
2020,2020,11,30105391,_14022023
2020,2020,12,2544237,_14022023
2020,2021,1,446438,_14022023
2020,2021,2,874861,_14022023
2020,2021,3,1234021,_14022023
2021,2021,4,46925040,_15022024
2021,2021,5,84334514,_15022024
2021,2021,6,80179517,_15022024
2021,2021,7,94096272,_15022024
2021,2021,8,88000415,_15022024
2021,2021,9,74874256,_15022024
2021,2021,10,38078020,_15022024
2021,2021,11,15904185,_15022024
2021,2021,12,798541,_15022024
2021,2022,2,289127,_15022024
2021,2022,3,1741534,_15022024
2022,2022,4,29004650,_15082024
2022,2022,5,76811293,_15082024
2022,2022,6,81193604,_15082024
2022,2022,7,94912222,_15082024
2022,2022,8,82485710,_15082024
2022,2022,9,65049875,_15082024
2022,2022,10,59785324,_15082024
2022,2022,11,42948368,_15082024
2022,2022,12,8125865,_15082024
2022,2023,1,1029859,_15082024
2022,2023,2,144973,_15082024
2022,2023,3,4708313,_15082024
2023,2023,4,36218610,_14082025
2023,2023,5,89789762,_14082025
2023,2023,6,81889451,_14082025
2023,2023,7,103926425,_14082025
2023,2023,8,93866594,_14082025
2023,2023,9,85600464,_14082025
2023,2023,10,69261390,_14082025
2023,2023,11,58732205,_14082025
2023,2023,12,22998914,_14082025
2023,2024,1,2786215,_14082025
2023,2024,2,1005344,_14082025
2023,2024,3,7160273,_14082025
2024,2024,4,52646267,_14082026
2024,2024,5,88809219,_14082026
2024,2024,6,96661984,_14082026
2024,2024,7,96083624,_14082026
2024,2024,8,90151639,_14082026
2024,2024,9,81205565,_14082026
2024,2024,10,61132138,_14082026
2024,2024,11,37077306,_14082026
2024,2024,12,10501466,_14082026
2024,2025,1,578777,_14082026
2024,2025,2,646589,_14082026
2024,2025,3,4030874,_14082026
2025,2025,4,36564540,_14082026
2025,2025,5,89110505,_14082026
2025,2025,6,81577662,_14082026
2025,2025,7,99658938,_14082026
2025,2025,8,97731788,_14082026
2025,2025,9,85646746,_14082026
2025,2025,10,65901604,_14082026
2025,2025,11,35388311,_14082026
2025,2025,12,9045129,_14082026
2025,2026,1,1290340,_14082026
2025,2026,2,752245,_14082026
2025,2026,3,5526769,_14082026
2026,2026,4,63161923,_14082026
2026,2026,5,83767745,_14082026
2026,2026,6,69798978,_14082026
2026,2026,7,96485468,_14082026
