operator,site,region,lat,lon,osm_hit,notes,needs_verification,control_site,site_id
Fonterra,Fonterra Whareroa Hawera,Taranaki,-39.6078519,174.2983774,"Fonterra Whareroa dairy processing plant, Hāwera, ",largest multi-product site; gas,0,0,200
Fonterra,Fonterra Clandeboye,Canterbury,-44.2124549,171.3816858,"Fonterra Clandeboye dairy factory, Clandeboye, Tim",major dryers; coal->electrification underway,0,0,201
Fonterra,Fonterra Darfield,Canterbury,-43.4532743,172.0831654,"Fonterra Darfield dairy processing plant, Selwyn D",newest large WMP dryers; coal,0,0,202
Fonterra,Fonterra Edendale,Southland,-46.3077649,168.7840053,"Fonterra Edendale, North Road, Edendale, Waihopai ",major dryers; coal/lignite,0,0,203
Fonterra,Fonterra Te Rapa Hamilton,Waikato,-37.7632944,175.2399001,"Fonterra, Crawford Street, Fonterra Canpac, Avalon",large dryers; gas,0,0,204
Fonterra,Fonterra Lichfield,Waikato,-38.13647,175.8217799,"Fonterra, Wood Road, Fonterra Lichfield dairy proc",large WMP dryer,0,0,205
Fonterra,Fonterra Waitoa,Waikato,-37.5981156,175.6298271,"Fonterra Waitoa, State Highway 26, Waitoa, Matamat",dryers/UHT,0,0,206
Fonterra,Fonterra Pahiatua,Manawatu,-40.4449594,175.8187577,"Fonterra Pahiatua dairy processing plant, Pahiatua",WMP dryer,0,0,207
Fonterra,Fonterra Kauri Whangarei,Northland,-35.6337661,174.2990655,"Fonterra Kauri, Hikurangi, Whangārei District, Nor",dryers,0,0,208
Fonterra,Fonterra Maungaturoto,Northland,-36.1029292,174.3725778,"Fonterra Maungaturoto Dairy Processing Plant, Maun",dryers,0,0,209
Fonterra,Fonterra Edgecumbe,Bay of Plenty,-37.9770975,176.8328683,"Fonterra Edgecumbe dairy processing plant, Edgecum",dryers/butter,0,0,210
Fonterra,Fonterra Te Awamutu,Waikato,-38.0024699,175.311476,"Fonterra Te Awamutu, Te Awamutu, Waipā District, W",dryer; coal->pellets converted 2020,0,0,211
Fonterra,Fonterra Takaka,Tasman,-40.8588,172.8055,chip-located: white factory cluster at town S end,small dryer,1,0,212
Fonterra,Fonterra Stirling,Otago,-46.2455,169.7788,chip-located: plant W side of village,cheese (control site),1,1,213
Open Country,Open Country Dairy Waharoa,Waikato,-37.7573,175.7483,chip-located: large white plant NW of village on SH27,WMP dryers,1,0,214
Open Country,Open Country Dairy Awarua,Southland,-46.4967734,168.3723083,"Open Country Dairy, Awarua, Invercargill City, Sou",dryers,0,0,215
Open Country,Open Country Dairy Whanganui,Whanganui,-39.9294,174.9871,chip-located: Castlecliff industrial block NE of town centre,dryer,1,0,216
Open Country,Open Country Dairy Horotiu,Waikato,-37.704,175.193,chip-located: industrial cluster S of AFFCO on river,dryer,1,0,217
Synlait,Synlait Dunsandel,Canterbury,-43.6605,172.1975,chip-located: compact white facility at Heslerton Rd site,large dryers; coal+electrode,1,0,218
Synlait,Synlait Pokeno,Waikato,-37.2532196,175.0210376,"Synlait Milk, McDonald Road, Gateway Business Park",dryer,0,0,219
Yili,Oceania Dairy Glenavy,Canterbury,-44.8810548,171.0953383,"Oceania Dairy, Waimate District, Canterbury, New Z",dryers,0,0,220
Yili,Westland Milk Products Hokitika,West Coast,-42.7244256,170.9787767,"Westland Milk Products, 56, Hokitika, Westland Dis",dryers,0,0,221
Miraka,Miraka Mokai,Waikato,-38.529,175.9105,chip-located: facility E of Mokai settlement near geothermal station,geothermal-powered dryer (weak thermal contrast?),1,0,222
Tatua,Tatua Dairy Morrinsville,Waikato,-37.6235,175.5958,chip-located: factory on SH26 at Tatuanui,specialty; small dryer,1,0,223
MVM,Mataura Valley Milk McNab Gore,Southland,-46.0827444,168.9927082,"Mataura Valley Milk, McNab, Gore, Gore District, S",nutritional dryer,0,0,224
Danone,Danone Nutricia Balclutha,Otago,-46.236,169.7375,chip-located: plant N edge of Balclutha,nutritional dryer,1,0,225
