year,month,kgms_000
2016,1,208036
2016,2,171624
2016,3,162357
2016,4,134607
2016,5,82798
2016,6,13013
2016,7,19923
2016,8,113130
2016,9,210113
2016,10,247431
2016,11,234770
2016,12,225501
2017,1,209690
2017,2,171172
2017,3,178463
2017,4,143763
2017,5,84037
2017,6,15672
2017,7,21496
2017,8,111385
2017,9,207418
2017,10,254558
2017,11,242644
2017,12,215089
2018,1,194128
2018,2,165225
2018,3,174572
2018,4,148177
2018,5,88812
2018,6,17565
2018,7,22470
2018,8,116478
2018,9,219511
2018,10,271080
2018,11,248156
2018,12,228238
2019,1,209036
2019,2,165025
2019,3,161433
2019,4,136728
2019,5,87839
2019,6,19917
2019,7,23539
2019,8,119066
2019,9,220982
2019,10,266907
2019,11,249135
2019,12,228700
2020,1,211377
2020,2,167874
2020,3,161619
2020,4,135699
2020,5,91147
2020,6,20321
2020,7,24795
2020,8,124643
2020,9,224952
2020,10,267666
2020,11,242303
2020,12,231027
2021,1,212222
2021,2,172916
2021,3,175606
2021,4,151501
2021,5,99675
2021,6,20642
2021,7,26600
2021,8,119435
2021,9,215896
2021,10,259461
2021,11,239452
2021,12,218357
2022,1,199256
2022,2,160430
2022,3,173051
2022,4,143603
2022,5,92893
2022,6,20872
2022,7,25146
2022,8,113595
2022,9,207787
2022,10,252061
2022,11,237324
2022,12,219566
2023,1,203101
2023,2,164082
2023,3,174732
2023,4,154060
2023,5,100742
2023,6,20784
2023,7,25116
2023,8,112564
2023,9,210436
2023,10,254432
2023,11,239213
2023,12,225182
2024,1,201791
2024,2,174718
2024,3,172573
2024,4,149987
2024,5,96364
2024,6,20334
2024,7,27429
2024,8,123823
2024,9,221291
2024,10,261483
2024,11,245773
2024,12,228298
2025,1,211853
2025,2,171157
2025,3,173986
2025,4,150138
2025,5,103525
2025,6,24051
2025,7,28130
2025,8,126991
2025,9,229013
2025,10,268952
2025,11,252373
2025,12,235567
2026,1,217967
2026,2,183868
2026,3,190445
2026,4,160642
2026,5,108730
2026,6,25401
2026,7,30346
