survey_date,month,half,consensus_crush_mt,consensus_sugar_mt,url,year
2015-07-03,6,2,43.43,2.32,https://press.spglobal.com/2015-07-03-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush,2015
2015-07-20,7,1,31.29,1.72,https://press.spglobal.com/2015-07-20-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush,2015
2015-08-06,7,2,47.27,2.67,https://press.spglobal.com/2015-08-06-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush,2015
2015-08-20,8,1,47.43,2.82,https://press.spglobal.com/2015-08-20-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush,2015
2015-09-08,8,2,48.27,3.031,https://press.spglobal.com/2015-09-08-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush-2H-August,2015
2015-09-23,9,1,29.09,1.711,https://press.spglobal.com/2015-09-23-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush,2015
2015-10-07,9,2,40.62,2.378,https://press.spglobal.com/2015-10-07-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush-2H-Sept-2015,2015
2015-10-21,10,1,36.84,2.127,https://press.spglobal.com/2015-10-21-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush-1H-October,2015
2015-11-09,10,2,37.91,2.141,https://press.spglobal.com/2015-11-09-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush-2H-October,2015
2015-12-04,11,2,18.08,,https://press.spglobal.com/2015-12-04-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush-2H-November,2015
2015-12-18,12,1,19.22,,https://press.spglobal.com/2015-12-18-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush-Brazil-1H-December,2015
2016-01-11,12,2,10.02,,https://press.spglobal.com/2016-01-11-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush-Brazil-2H-December-2015,2015
2016-04-25,4,1,623.65,34.371,https://press.spglobal.com/2016-04-25-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush-2016-17-Full-Season-1H-April,2016
2016-05-09,4,2,36.27,1.726,https://press.spglobal.com/2016-05-09-S-P-Global-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush-2016-17-Season-2H-April,2016
2016-05-31,5,1,38.34,2.025,https://press.spglobal.com/2016-05-31-S-P-Global-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush-2016-17-Season-1H-May,2016
2016-06-14,5,2,32.15,1.668,https://press.spglobal.com/2016-06-14-S-P-Global-Platts-Pre-Report-Survey-of-Analysts-Results-UNICA-Sugarcane-Crush-2016-17-Season-2H-May,2016
2016-06-30,6,1,26.7,1.309,https://press.spglobal.com/2016-06-30-S-P-Global-Platts-Pre-Report-Survey-of-Analysts-UNICA-Sugarcane-Crush-2016-17-Season-1H-June,2016
2016-07-13,6,2,47.07,2.562,https://press.spglobal.com/2016-07-13-UNICA-Sugarcane-Crush-2016-17-Season-2H-June-Survey-of-Analysts-by-S-P-Global-Platts,2016
2016-08-12,7,2,49.7,3.109,https://press.spglobal.com/2016-08-12-UNICA-Sugarcane-Crush-2016-17-Season-2H-July-S-P-Global-Platts-Pre-Report-Survey-of-Analysts-Results,2016
2016-09-13,8,2,40.24,2.669,https://press.spglobal.com/2016-09-13-UNICA-Sugarcane-Crush-2016-17-Season-2H-August-S-P-Global-Platts-Pre-Report-Survey-of-Analysts-Results,2016
2016-09-29,9,1,39.93,2.618,https://press.spglobal.com/2016-09-29-UNICA-Sugarcane-Crush-2016-17-Season-1H-September-S-P-Global-Platts-Pre-Report-Survey-of-Analysts,2016
2016-10-26,10,1,33.86,2.334,https://press.spglobal.com/2016-10-26-UNICA-Sugarcane-Crush-2016-17-Season-1H-October-S-P-Global-Platts-Pre-Report-Survey-of-Analysts-Results,2016
2016-11-11,10,2,31.45,2.006,https://press.spglobal.com/2016-11-11-UNICA-Sugarcane-Crush-2016-17-Season-2H-October-S-P-Global-Platts-Pre-Report-Survey-of-Analysts-Results,2016
2017-05-24,5,1,36.15,1.88,https://press.spglobal.com/2017-05-24-UNICA-Sugarcane-Crush-2017-18-Season-1H-May-S-P-Global-Platts-Pre-Report-Survey-of-Analysts-Results,2017
2017-06-09,5,2,29.58,,https://press.spglobal.com/2017-06-09-UNICA-Sugarcane-Crush-2017-18-Season-2H-May-S-P-Global-Platts-Pre-Report-Survey-of-Analysts-Results,2017
2017-06-26,6,1,41.18,,https://press.spglobal.com/2017-06-26-UNICA-Sugarcane-Crush-2017-18-Season-1H-June-S-P-Global-Platts-Pre-Report-Survey-of-Analysts,2017
