date,symbol,open,high,low,close,volume,oi,rolled
2011-04-01,SBH14,20.75,20.75,20.62,20.75,51,51,True
2011-04-04,SBH14,20.8,20.96,20.8,20.96,41,92,False
2011-04-05,SBH14,20.95,20.95,20.95,20.95,0,92,False
2011-04-06,SBH14,20.93,20.93,20.93,20.93,0,92,False
2011-04-07,SBH14,21.07,21.24,21.07,21.24,1,93,False
2011-04-08,SBH14,21.42,21.42,21.42,21.42,0,93,False
2011-04-11,SBH14,21.43,21.5,21.39,21.4,100,190,False
2011-04-12,SBH14,21.38,21.39,21.38,21.39,6,190,False
2011-04-13,SBH14,21.51,21.51,21.51,21.51,0,196,False
2011-04-14,SBH14,21.42,21.42,21.12,21.35,103,297,False
2011-04-15,SBH14,21.17,21.26,21.17,21.26,1,298,False
2011-04-18,SBH14,21.4,21.4,21.4,21.4,55,350,False
2011-04-19,SBH14,21.27,21.51,21.04,21.04,40,391,False
2011-04-20,SBH14,21.3,21.5,21.3,21.5,42,431,False
2011-04-21,SBH14,21.5,21.5,21.04,21.17,17,444,False
2011-04-25,SBH14,21.09,21.21,21.08,21.19,26,470,False
2011-04-26,SBH14,21.23,21.23,21.23,21.23,0,470,False
2011-04-27,SBH14,21.21,21.75,21.21,21.73,84,548,False
2011-04-28,SBH14,21.68,21.84,21.55,21.84,178,714,False
2011-04-29,SBH14,21.48,21.81,21.38,21.81,163,870,False
2011-05-02,SBH14,21.41,21.45,21.3,21.39,252,1041,False
2011-05-03,SBH14,21.5,21.54,21.43,21.54,91,1128,False
2011-05-04,SBH14,21.29,21.45,21.29,21.4,35,1148,False
2011-05-05,SBH14,21.21,21.21,20.76,21.02,82,1204,False
2011-05-06,SBH14,20.8,21.15,20.71,20.71,18,1217,False
2011-05-09,SBH14,21.0,21.0,21.0,21.0,0,1217,False
2011-05-10,SBH14,21.12,21.55,21.12,21.52,35,1231,False
2011-05-11,SBH14,21.38,21.38,21.12,21.25,7,1232,False
2011-05-12,SBH14,20.96,21.52,20.9,21.52,60,1254,False
2011-05-13,SBH14,21.34,21.65,21.32,21.4,36,1276,False
2011-05-16,SBH14,21.2,21.3,21.04,21.25,77,1304,False
2011-05-17,SBH14,21.05,21.33,20.88,21.33,25,1318,False
2011-05-18,SBH14,21.61,21.66,21.2,21.34,292,1469,False
2011-05-19,SBH14,20.79,21.15,20.79,20.85,73,1481,False
2011-05-20,SBH14,20.83,21.1,20.78,20.98,187,1643,False
2011-05-23,SBH14,20.5,20.75,20.43,20.44,89,1642,False
2011-05-24,SBH14,20.85,20.99,20.64,20.68,25,1660,False
2011-05-25,SBH14,20.65,20.93,20.61,20.9,82,1690,False
2011-05-26,SBH14,20.74,20.94,20.72,20.94,19,1690,False
2011-05-27,SBH14,21.1,21.12,21.1,21.12,29,1719,False
2011-05-31,SBH14,21.15,21.35,21.13,21.35,147,1804,False
2011-06-01,SBH14,21.35,21.35,20.84,20.84,57,1845,False
2011-06-02,SBH14,21.31,21.78,21.3,21.73,201,1895,False
2011-06-03,SBH14,21.57,21.65,21.5,21.58,66,1940,False
2011-06-06,SBH14,21.56,21.56,21.48,21.48,1,1940,False
2011-06-07,SBH14,21.41,21.72,21.34,21.59,54,1986,False
2011-06-08,SBH14,21.44,21.59,21.44,21.59,40,2005,False
2011-06-09,SBH14,21.67,21.67,21.63,21.63,170,2124,False
2011-06-10,SBH14,21.42,21.69,21.4,21.69,2,2123,False
2011-06-13,SBH14,21.83,21.84,21.35,21.64,8,2129,False
2011-06-14,SBH14,21.23,21.55,21.23,21.55,19,2130,False
2011-06-15,SBH14,21.42,21.42,21.42,21.42,0,2130,False
2011-06-16,SBH14,21.32,21.76,21.32,21.73,26,2143,False
2011-06-17,SBH14,21.59,21.83,21.59,21.75,123,2152,False
2011-06-20,SBH14,21.7,21.85,21.65,21.83,151,2255,False
2011-06-21,SBH14,21.5,21.69,21.41,21.64,47,2282,False
2011-06-22,SBH14,21.45,21.61,21.4,21.61,87,2280,False
2011-06-23,SBH14,20.82,21.55,20.82,21.54,100,2317,False
