id_empresa,status,nome_fantasia,grupo,cidade,estado,pais,latitude,longitude,coordenadas_validas,materias_primas,produtos,associada,data_ultima_atualizacao
20000,A,Aralco Alcoazul S/A,Aralco,Araçatuba,SP,Brasil,-21.076839,-50.544233,1,Cana-de-Açúcar,Açúcar | Etanol,N,1755561600000
20001,A,Alcoeste Bioenergia,Arakaki,Fernandópolis,SP,Brasil,-20.269741,-50.338972,1,Cana-de-Açúcar,Açúcar | Bagaço | Bioeletricidade | Etanol | Levedura,S,1739232000000
20002,A,Raízen - Parque de Bioenergia Mundial,Raízen,Mirandópolis,SP,Brasil,-21.196834,-51.216873,1,Cana-de-Açúcar,Bioeletricidade | Etanol,S,1754611200000
20003,A,Alto Alegre - Unidade Floresta,Lincoln Junqueira,Presidente Prudente,SP,Brasil,-21.866356,-51.259262,1,Cana-de-Açúcar,Açúcar,S,1734048000000
20005,A,Raízen - Parque de Bioenergia Benálcool,Raízen,Bento de Abreu,SP,Brasil,-21.227226,-50.78076,1,Cana-de-Açúcar,Bioeletricidade | Etanol,S,1754611200000
20006,A,Branco Peres Agribusiness,Branco Peres,Adamantina,SP,Brasil,-21.489261,-51.027941,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Crédito de Carbono | Etanol,S,1734048000000
20007,A,Zilor - Unidade Salto Botelho,Zilor,Lucélia,SP,Brasil,-21.566696,-50.959826,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol | Levedura | Vinhaça,S,1734048000000
20008,A,Clealco - Unidade Clementina,Clealco,Clementina,SP,Brasil,-21.577753,-50.43359,1,Cana-de-Açúcar,Açúcar | Bagaço | Bioeletricidade | Etanol | Levedura | Melaço | Óleo | Vinhaça,S,1755043200000
20009,A,Cocal - Unidade Paraguaçu Paulista,Cocal,Paraguaçú Paulista,SP,Brasil,-22.47692,-50.790168,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol | Vinhaça,S,1778630400000
20010,A,Usina Califórnia,,Parapuã,SP,Brasil,-21.914496,-50.865905,1,Cana-de-Açúcar,Açúcar | Bagaço | Etanol,S,1734048000000
20011,A,Raízen - Parque de Bioenergia Destivale,Raízen,Araçatuba,SP,Brasil,-21.057733,-50.465011,1,Cana-de-Açúcar,Bioeletricidade | Etanol,S,1754611200000
20012,A,Diana Bioenergia,Santa Isabel,Avanhandava,SP,Brasil,-21.402284,-49.894699,1,Cana-de-Açúcar,Açúcar | Bagaço | Bioeletricidade | Crédito de Carbono | Etanol | Levedura,S,1734048000000
20013,A,Grupo Renuka do Brasil - Unidade Madhu,Renuka do Brasil,Promissão,SP,Brasil,-21.634631,-49.840988,1,Cana-de-Açúcar,Açúcar | Bagaço | Bioeletricidade | Etanol | Levedura | Óleo,S,1734048000000
20014,I,Cia. Flórida,,Flórida Paulista,SP,Brasil,-21.5092,-51.1343,1,Cana-de-Açúcar,Açúcar | Etanol,N,1721347200000
20015,A,Aralco Generalco S/A,Aralco,General Salgado,SP,Brasil,-20.573816,-50.387057,1,Cana-de-Açúcar,Açúcar | Etanol,N,1755561600000
20016,A,Usina Santa Adélia - Pioneiros,Santa Adélia,Sud Mennucci,SP,Brasil,-20.729077,-50.959881,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,N,1734048000000
20017,A,Viterra Bioenergia - Unidade Nova Unialco,Glencane,Guararapes,SP,Brasil,-21.463056,-50.791864,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,S,1734048000000
20018,A,Raízen - Parque de Bioenergia Univalem,Raízen,Valparaíso,SP,Brasil,-21.327942,-50.949095,1,Cana-de-Açúcar,Açúcar | Etanol,S,1734048000000
20038,I,Santa Ana,,Bebedouro,SP,Brasil,-20.95237,-48.484,1,Cana-de-Açúcar,Aguardente/Cachaça,N,1721347200000
20134,A,JBS Energia - UTE Biolins,JBS,Lins,SP,Brasil,-21.675505,-49.779736,1,Cana-de-Açúcar,Bagaço | Bioeletricidade,S,1734048000000
20257,A,Usina Cedro,Bertin,Paranaíba,MS,Brasil,-19.398898116784213,-51.32582146772359,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,S,1734048000000
20261,I,Itarumã,,Itarumã,GO,Brasil,-18.5794444444,-51.7641666667,1,Cana-de-Açúcar,Açúcar | Etanol,N,1721606400000
20269,A,Zilor - Biorigin e P&D São José,Zilor,Macatuba,SP,Brasil,-22.49757,-48.781806,1,Cana-de-Açúcar,Açúcar | Etanol,N,1759190400000
20283,I,Momesso,,Barra Bonita,SP,Brasil,-22.4403,-48.53013,1,Cana-de-Açúcar,Aguardente/Cachaça,N,1721347200000
20310,I,Renuka - Unidade Revati,Renuka do Brasil,Brejo Alegre,SP,Brasil,-21.217198,-50.206666,1,Cana-de-Açúcar,Açúcar | Bagaço | Bioeletricidade | Etanol | Levedura | Óleo,N,1734048000000
20319,A,Da Prata,,Prata,MG,Brasil,-19.3703852,-48.901,1,Cana-de-Açúcar,Açúcar | Etanol | Levedura,N,1723420800000
20331,A,Usina Vertente,Tereos,Guaraci,SP,Brasil,-20.405302,-49.001647,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,S,1734048000000
20340,A,Goiás Bioenergia,,Porteirão,GO,Brasil,-17.8407401,-50.0708648,1,Cana-de-Açúcar,Açúcar | Etanol,N,1709596800000
20347,A,Álcool Ferreira,,Cordeirópolis,SP,Brasil,-22.496032241300185,-47.40303182568331,1,Cana-de-Açúcar,Etanol,N,1721260800000
20360,I,UMOE - Unidade I*,,Presidente Prudente,SP,Brasil,-22.6479472222,-51.6165388889,1,Cana-de-Açúcar,Aguardente/Cachaça,N,1721347200000
20375,A,Cafealcool Agroindustrial,Cafealcool,Cafelândia,SP,Brasil,-21.707454,-49.512867,1,Cana-de-Açúcar,Açúcar | Aguardente/Cachaça | Bagaço | Bioeletricidade | Levedura,S,1734048000000
20423,I,Pignata,,Sertãozinho,SP,Brasil,-21.1233333333,-47.9672222222,1,Cana-de-Açúcar,Aguardente/Cachaça,N,1721347200000
20446,I,CEV ,,Veríssimo,MG,Brasil,-19.7678888889,-48.3485,1,Cana-de-Açúcar,Etanol,N,1721347200000
20472,I,Renascença,,Ibirarema,SP,Brasil,-22.8496388889,-50.0874444444,1,Cana-de-Açúcar,Etanol,N,1721606400000
20490,A,Tereos - Cruz Alta,Tereos,Olímpia,SP,Brasil,-20.692852,-49.10848,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol | Vinhaça,S,1734048000000
20491,I,Abraham Lincoln (PA) *,,Medicilândia,PA,Brasil,-3.4632957133300737,-52.90893267758584,1,Cana-de-Açúcar,Açúcar,N,1721260800000
20500,A,Agropéu,AZC - EBB (Envien Bioenergia Brasil),Pompéu,MG,Brasil,-19.252409,-44.985694,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,S,1776124800000
20501,A,Agro Serra,Agro Serra,São Raimundo das Mangabeiras,MA,Brasil,-6.78161,-45.878235,1,Cana-de-Açúcar,Etanol,S,1734048000000
