year,month,crush_t,safra
2010,4,51599412,2010
2010,5,75632967,2010
2010,6,81549902,2010
2010,7,82122168,2010
2010,8,82301232,2010
2010,9,64732441,2010
2010,10,56348993,2010
2010,11,42892375,2010
2010,12,11266736,2010
2011,1,843419,2010
2011,2,441187,2010
2011,3,2065603,2010
2011,4,22208414,2011
2011,5,76447467,2011
2011,6,77244456,2011
2011,7,82349380,2011
2011,8,79460371,2011
2011,9,74080973,2011
2011,10,46568488,2011
2011,11,27817750,2011
2011,12,3659741,2011
2012,1,937924,2011
2012,2,596849,2011
2012,3,525862,2011
2012,4,13599229,2012
2012,5,56664982,2012
2012,6,57579767,2012
2012,7,88472214,2012
2012,8,90765369,2012
2012,9,73735956,2012
2012,10,74142733,2012
2012,11,55099523,2012
2012,12,20717513,2012
2013,1,949119,2012
2013,2,291329,2012
2013,3,2047241,2012
2013,4,39875065,2013
2013,5,75966130,2013
2013,6,65056511,2013
2013,7,87425221,2013
2013,8,95281370,2013
2013,9,77169097,2013
2013,10,70227129,2013
2013,11,58356695,2013
2013,12,23809086,2013
2014,1,970274,2013
2014,2,203622,2013
2014,3,4637161,2013
2014,4,36618568,2014
2014,5,76937810,2014
2014,6,85675505,2014
2014,7,77393756,2014
2014,8,92308117,2014
2014,9,68749978,2014
2014,10,73877785,2014
2014,11,38903044,2014
2014,12,13849751,2014
2015,1,2040172,2014
2015,2,956263,2014
2015,3,5834248,2014
2015,4,40163462,2015
2015,5,69197192,2015
2015,6,86434251,2015
2015,7,79070119,2015
2015,8,95289178,2015
2015,9,70341372,2015
2015,10,74966421,2015
2015,11,44544360,2015
2015,12,28553311,2015
2016,1,5927324,2015
2016,2,3826898,2015
2016,3,19395494,2015
2016,4,69171409,2016
2016,5,72198639,2016
2016,6,74220592,2016
2016,7,96513855,2016
2016,8,83730803,2016
2016,9,80408855,2016
2016,10,64004414,2016
2016,11,41452910,2016
2016,12,10349403,2016
2017,1,1771174,2016
2017,2,2071478,2016
2017,3,11243165,2016
2017,4,41944660,2017
2017,5,70264271,2017
2017,6,87221754,2017
2017,7,98906990,2017
2017,8,84511828,2017
2017,9,85933088,2017
2017,10,62664066,2017
2017,11,38720618,2017
2017,12,13072653,2017
2018,1,587187,2017
2018,2,1307716,2017
2018,3,11194848,2017
2018,4,60170442,2018
2018,5,75417959,2018
2018,6,88059560,2018
2018,7,92879705,2018
2018,8,77214178,2018
2018,9,66601039,2018
2018,10,50606835,2018
2018,11,36102976,2018
2018,12,15459327,2018
2019,1,1119648,2018
2019,2,823279,2018
2019,3,8713800,2018
2019,4,45628290,2019
2019,5,83344142,2019
2019,6,88986925,2019
2019,7,90802740,2019
2019,8,90714389,2019
2019,9,74742245,2019
2019,10,70350512,2019
2019,11,30771712,2019
2019,12,3308548,2019
2020,1,214402,2019
2020,2,628876,2019
2020,3,10431144,2019
2020,4,60702094,2020
2020,5,84763601,2020
2020,6,84928388,2020
2020,7,97595865,2020
2020,8,88828749,2020
2020,9,85056157,2020
2020,10,63918685,2020
2020,11,29101037,2020
2020,12,2482398,2020
2021,1,257085,2020
2021,2,1155875,2020
2021,3,6672335,2020
2021,4,45340226,2021
2021,5,85229923,2021
2021,6,82099133,2021
2021,7,93162512,2021
2021,8,88146619,2021
2021,9,74607330,2021
2021,10,36796079,2021
2021,11,16457233,2021
2021,12,777105,2021
2022,2,159380,2021
2022,3,1323483,2021
2022,4,29302234,2022
2022,5,78082086,2022
2022,6,80754925,2022
2022,7,95542838,2022
2022,8,83007547,2022
2022,9,64941786,2022
2022,10,59829630,2022
2022,11,42679695,2022
2022,12,8251286,2022
2023,1,747130,2022
2023,2,144973,2022
2023,3,5341214,2022
2023,4,35290913,2023
2023,5,91329065,2023
2023,6,83863242,2023
2023,7,101638289,2023
2023,8,94523656,2023
2023,9,86855586,2023
2023,10,67586474,2023
2023,11,58880592,2023
2023,12,24236631,2023
2024,1,1820072,2023
2024,2,1100316,2023
2024,3,7324331,2023
2024,4,51115273,2024
2024,5,90424220,2024
2024,6,98405587,2024
2024,7,95001963,2024
2024,8,89262553,2024
2024,9,81833684,2024
2024,10,61142552,2024
2024,11,36674438,2024
2024,12,10528909,2024
2025,1,540427,2024
2025,2,527313,2024
2025,3,6469950,2024
2025,4,34631274,2025
2025,5,90319438,2025
2025,6,81621819,2025
2025,7,100418846,2025
2025,8,98044806,2025
2025,9,87086866,2025
2025,10,65280244,2025
2025,11,34774470,2025
2025,12,8185542,2025
2026,1,1214024,2025
2026,2,713735,2025
2026,3,8861750,2025
2026,4,60412599,2026
2026,5,84293929,2026
