safra,quinzena,data_ref,regiao,mat_prima,moagem_t
2025/2026,1ª Abr,2025-04-01,Centro-Sul,Combinado (CA+ML),16675740
2025/2026,1ª Abr,2025-04-01,Demais Estados,Combinado (CA+ML),8422586
2025/2026,1ª Abr,2025-04-01,São Paulo,Combinado (CA+ML),8253154
2025/2026,1ª Ago,2025-08-01,Centro-Sul,Combinado (CA+ML),47812562
2025/2026,1ª Ago,2025-08-01,Demais Estados,Combinado (CA+ML),19911743
2025/2026,1ª Ago,2025-08-01,São Paulo,Combinado (CA+ML),27900819
2025/2026,1ª Dez,2025-12-01,Centro-Sul,Combinado (CA+ML),5981949
2025/2026,1ª Dez,2025-12-01,Demais Estados,Combinado (CA+ML),2687938
2025/2026,1ª Dez,2025-12-01,São Paulo,Combinado (CA+ML),3294011
2025/2026,1ª Fev,2026-02-01,Centro-Sul,Combinado (CA+ML),352453
2025/2026,1ª Fev,2026-02-01,Demais Estados,Combinado (CA+ML),352453
2025/2026,1ª Fev,2026-02-01,São Paulo,Combinado (CA+ML),0
2025/2026,1ª Jan,2026-01-01,Centro-Sul,Combinado (CA+ML),605092
2025/2026,1ª Jan,2026-01-01,Demais Estados,Combinado (CA+ML),442477
2025/2026,1ª Jan,2026-01-01,São Paulo,Combinado (CA+ML),162615
2025/2026,1ª Jul,2025-07-01,Centro-Sul,Combinado (CA+ML),50016684
2025/2026,1ª Jul,2025-07-01,Demais Estados,Combinado (CA+ML),21448969
2025/2026,1ª Jul,2025-07-01,São Paulo,Combinado (CA+ML),28567715
2025/2026,1ª Jun,2025-06-01,Centro-Sul,Combinado (CA+ML),38835935
2025/2026,1ª Jun,2025-06-01,Demais Estados,Combinado (CA+ML),17986456
2025/2026,1ª Jun,2025-06-01,São Paulo,Combinado (CA+ML),20849479
2025/2026,1ª Mai,2025-05-01,Centro-Sul,Combinado (CA+ML),42518290
2025/2026,1ª Mai,2025-05-01,Demais Estados,Combinado (CA+ML),18277873
2025/2026,1ª Mai,2025-05-01,São Paulo,Combinado (CA+ML),24240417
2025/2026,1ª Mar,2026-03-01,Centro-Sul,Combinado (CA+ML),1307759
2025/2026,1ª Mar,2026-03-01,Demais Estados,Combinado (CA+ML),887763
2025/2026,1ª Mar,2026-03-01,São Paulo,Combinado (CA+ML),419996
2025/2026,1ª Nov,2025-11-01,Centro-Sul,Combinado (CA+ML),18781259
2025/2026,1ª Nov,2025-11-01,Demais Estados,Combinado (CA+ML),7715272
2025/2026,1ª Nov,2025-11-01,São Paulo,Combinado (CA+ML),11065987
2025/2026,1ª Out,2025-10-01,Centro-Sul,Combinado (CA+ML),34086701
2025/2026,1ª Out,2025-10-01,Demais Estados,Combinado (CA+ML),15112989
2025/2026,1ª Out,2025-10-01,São Paulo,Combinado (CA+ML),18973712
2025/2026,1ª Set,2025-09-01,Centro-Sul,Combinado (CA+ML),46103505
2025/2026,1ª Set,2025-09-01,Demais Estados,Combinado (CA+ML),19746488
2025/2026,1ª Set,2025-09-01,São Paulo,Combinado (CA+ML),26357017
2025/2026,2ª Abr,2025-04-16,Centro-Sul,Combinado (CA+ML),17955534
2025/2026,2ª Abr,2025-04-16,Demais Estados,Combinado (CA+ML),7926941
2025/2026,2ª Abr,2025-04-16,São Paulo,Combinado (CA+ML),10028593
2025/2026,2ª Ago,2025-08-16,Centro-Sul,Combinado (CA+ML),50232244
2025/2026,2ª Ago,2025-08-16,Demais Estados,Combinado (CA+ML),21560705
2025/2026,2ª Ago,2025-08-16,São Paulo,Combinado (CA+ML),28671539
2025/2026,2ª Dez,2025-12-16,Centro-Sul,Combinado (CA+ML),2203593
2025/2026,2ª Dez,2025-12-16,Demais Estados,Combinado (CA+ML),1277477
2025/2026,2ª Dez,2025-12-16,São Paulo,Combinado (CA+ML),926116
2025/2026,2ª Fev,2026-02-16,Centro-Sul,Combinado (CA+ML),361282
2025/2026,2ª Fev,2026-02-16,Demais Estados,Combinado (CA+ML),313833
2025/2026,2ª Fev,2026-02-16,São Paulo,Combinado (CA+ML),47449
2025/2026,2ª Jan,2026-01-16,Centro-Sul,Combinado (CA+ML),608932
2025/2026,2ª Jan,2026-01-16,Demais Estados,Combinado (CA+ML),608932
2025/2026,2ª Jan,2026-01-16,São Paulo,Combinado (CA+ML),0
2025/2026,2ª Jul,2025-07-16,Centro-Sul,Combinado (CA+ML),50402162
2025/2026,2ª Jul,2025-07-16,Demais Estados,Combinado (CA+ML),21840759
2025/2026,2ª Jul,2025-07-16,São Paulo,Combinado (CA+ML),28561403
2025/2026,2ª Jun,2025-06-16,Centro-Sul,Combinado (CA+ML),42785884
2025/2026,2ª Jun,2025-06-16,Demais Estados,Combinado (CA+ML),18294852
2025/2026,2ª Jun,2025-06-16,São Paulo,Combinado (CA+ML),24491032
2025/2026,2ª Mai,2025-05-16,Centro-Sul,Combinado (CA+ML),47801148
2025/2026,2ª Mai,2025-05-16,Demais Estados,Combinado (CA+ML),19731276
2025/2026,2ª Mai,2025-05-16,São Paulo,Combinado (CA+ML),28069872
2025/2026,2ª Mar,2026-03-16,Centro-Sul,Combinado (CA+ML),7553991
2025/2026,2ª Mar,2026-03-16,Demais Estados,Combinado (CA+ML),4234851
2025/2026,2ª Mar,2026-03-16,São Paulo,Combinado (CA+ML),3319140
2025/2026,2ª Nov,2025-11-16,Centro-Sul,Combinado (CA+ML),15993211
2025/2026,2ª Nov,2025-11-16,Demais Estados,Combinado (CA+ML),6363851
2025/2026,2ª Nov,2025-11-16,São Paulo,Combinado (CA+ML),9629360
