safra,position_dd_mm,sp_cum_t,cs_cum_t,outros_cum_t
2025,16/04,8253154,16675740,8422586
2026,16/04,11007246,20403906,9396660
2025,01/05,18281747,34631274,16349527
2026,01/05,34213121,60412599,26199478
2025,16/05,42522164,77149564,34627400
2026,16/05,59141087,103162751,44021664
2025,01/06,70592036,124950712,54358676
2026,01/06,81076256,144679575,63603319
2025,16/06,91441515,163786647,72345132
2026,16/06,102324748,183435127,81110379
2025,01/07,115932547,206572531,90639984
2026,01/07,118090274,214470277,96380003
