safra,quinzena,date,estado,regiao,moagem_t
2010/2011,1ª Abr,2010-04-16,ES,DEMAIS ESTADOS,89415
2010/2011,1ª Abr,2010-04-16,GO,DEMAIS ESTADOS,981171
2010/2011,1ª Abr,2010-04-16,MG,DEMAIS ESTADOS,1680580
2010/2011,1ª Abr,2010-04-16,MS,DEMAIS ESTADOS,1570738
2010/2011,1ª Abr,2010-04-16,MT,DEMAIS ESTADOS,376391
2010/2011,1ª Abr,2010-04-16,PR,DEMAIS ESTADOS,1901707
2010/2011,1ª Abr,2010-04-16,SP,SÃO PAULO,14195434
2010/2011,2ª Abr,2010-05-01,ES,DEMAIS ESTADOS,99293
2010/2011,2ª Abr,2010-05-01,GO,DEMAIS ESTADOS,2183082
2010/2011,2ª Abr,2010-05-01,MG,DEMAIS ESTADOS,2796788
2010/2011,2ª Abr,2010-05-01,MS,DEMAIS ESTADOS,1272834
2010/2011,2ª Abr,2010-05-01,MT,DEMAIS ESTADOS,765419
2010/2011,2ª Abr,2010-05-01,PR,DEMAIS ESTADOS,2018109
2010/2011,2ª Abr,2010-05-01,SP,SÃO PAULO,21668451
2010/2011,1ª Mai,2010-05-16,ES,DEMAIS ESTADOS,103212
2010/2011,1ª Mai,2010-05-16,GO,DEMAIS ESTADOS,2965639
2010/2011,1ª Mai,2010-05-16,MG,DEMAIS ESTADOS,3250715
2010/2011,1ª Mai,2010-05-16,MS,DEMAIS ESTADOS,1522433
2010/2011,1ª Mai,2010-05-16,MT,DEMAIS ESTADOS,866466
2010/2011,1ª Mai,2010-05-16,PR,DEMAIS ESTADOS,2744816
2010/2011,1ª Mai,2010-05-16,RJ,DEMAIS ESTADOS,32241
2010/2011,1ª Mai,2010-05-16,SP,SÃO PAULO,23640924
2010/2011,2ª Mai,2010-06-01,ES,DEMAIS ESTADOS,190387
2010/2011,2ª Mai,2010-06-01,GO,DEMAIS ESTADOS,3674317
2010/2011,2ª Mai,2010-06-01,MG,DEMAIS ESTADOS,4042566
2010/2011,2ª Mai,2010-06-01,MS,DEMAIS ESTADOS,1511499
2010/2011,2ª Mai,2010-06-01,MT,DEMAIS ESTADOS,1007691
2010/2011,2ª Mai,2010-06-01,PR,DEMAIS ESTADOS,2302348
2010/2011,2ª Mai,2010-06-01,RJ,DEMAIS ESTADOS,112719
2010/2011,2ª Mai,2010-06-01,SP,SÃO PAULO,27664994
2010/2011,1ª Jun,2010-06-16,ES,DEMAIS ESTADOS,270238
2010/2011,1ª Jun,2010-06-16,GO,DEMAIS ESTADOS,3588449
2010/2011,1ª Jun,2010-06-16,MG,DEMAIS ESTADOS,3911433
2010/2011,1ª Jun,2010-06-16,MS,DEMAIS ESTADOS,2292211
2010/2011,1ª Jun,2010-06-16,MT,DEMAIS ESTADOS,1058179
2010/2011,1ª Jun,2010-06-16,PR,DEMAIS ESTADOS,2922963
2010/2011,1ª Jun,2010-06-16,RJ,DEMAIS ESTADOS,131582
2010/2011,1ª Jun,2010-06-16,RS,DEMAIS ESTADOS,8618
2010/2011,1ª Jun,2010-06-16,SP,SÃO PAULO,25583121
2010/2011,2ª Jun,2010-07-01,ES,DEMAIS ESTADOS,278126
2010/2011,2ª Jun,2010-07-01,GO,DEMAIS ESTADOS,3608023
2010/2011,2ª Jun,2010-07-01,MG,DEMAIS ESTADOS,4159743
2010/2011,2ª Jun,2010-07-01,MS,DEMAIS ESTADOS,2579563
2010/2011,2ª Jun,2010-07-01,MT,DEMAIS ESTADOS,986798
2010/2011,2ª Jun,2010-07-01,PR,DEMAIS ESTADOS,3086178
2010/2011,2ª Jun,2010-07-01,RJ,DEMAIS ESTADOS,140421
2010/2011,2ª Jun,2010-07-01,RS,DEMAIS ESTADOS,3963
2010/2011,2ª Jun,2010-07-01,SP,SÃO PAULO,26940293
2010/2011,1ª Jul,2010-07-16,ES,DEMAIS ESTADOS,278228
2010/2011,1ª Jul,2010-07-16,GO,DEMAIS ESTADOS,3772963
2010/2011,1ª Jul,2010-07-16,MG,DEMAIS ESTADOS,4109489
2010/2011,1ª Jul,2010-07-16,MS,DEMAIS ESTADOS,2248703
2010/2011,1ª Jul,2010-07-16,MT,DEMAIS ESTADOS,1028393
2010/2011,1ª Jul,2010-07-16,PR,DEMAIS ESTADOS,2918666
