safra,quinzena,producao
2010/2011,1ª Abr,815708
2010/2011,1ª Ago,2745897
2010/2011,1ª Dez,367226
2010/2011,1ª Fev,3874
2010/2011,1ª Jan,8446
2010/2011,1ª Jul,2511238
2010/2011,1ª Jun,2304216
2010/2011,1ª Mai,1867237
2010/2011,1ª Mar,6578
2010/2011,1ª Nov,1464270
2010/2011,1ª Out,1500980
2010/2011,1ª Set,2649088
2010/2011,2ª Abr,1526906
2010/2011,2ª Ago,2958587
2010/2011,2ª Dez,69874
2010/2011,2ª Fev,3157
2010/2011,2ª Jan,2351
2010/2011,2ª Jul,2773017
2010/2011,2ª Jun,2549961
2010/2011,2ª Mai,2227148
2010/2011,2ª Mar,62492
2010/2011,2ª Nov,1031841
2010/2011,2ª Out,1924338
2010/2011,2ª Set,1969976
2011/2012,1ª Abr,157569
2011/2012,1ª Ago,2659354
2011/2012,1ª Dez,143308
2011/2012,1ª Fev,8515
2011/2012,1ª Jan,12244
2011/2012,1ª Jul,2585422
2011/2012,1ª Jun,2020245
2011/2012,1ª Mai,1556265
2011/2012,1ª Mar,3693
2011/2012,1ª Nov,1272120
2011/2012,1ª Out,1781248
2011/2012,1ª Set,2762937
2011/2012,2ª Abr,603509
2011/2012,2ª Ago,2969808
2011/2012,2ª Dez,35267
2011/2012,2ª Fev,6615
2011/2012,2ª Jan,16282
2011/2012,2ª Jul,2825943
2011/2012,2ª Jun,2597813
2011/2012,2ª Mai,2410300
2011/2012,2ª Mar,3691
2011/2012,2ª Nov,504018
2011/2012,2ª Out,1476369
2011/2012,2ª Set,2844885
2012/2013,1ª Abr,142339
2012/2013,1ª Ago,3028091
2012/2013,1ª Dez,1044380
2012/2013,1ª Fev,0
2012/2013,1ª Jan,13898
2012/2013,1ª Jul,2634640
2012/2013,1ª Jun,1366225
2012/2013,1ª Mai,1024036
2012/2013,1ª Mar,4983
2012/2013,1ª Nov,1742343
2012/2013,1ª Out,2790446
2012/2013,1ª Set,3135972
2012/2013,2ª Abr,393166
2012/2013,2ª Ago,3338315
2012/2013,2ª Dez,109951
2012/2013,2ª Fev,6356
2012/2013,2ª Jan,634
2012/2013,2ª Jul,2971344
2012/2013,2ª Jun,1795183
2012/2013,2ª Mai,1959522
2012/2013,2ª Mar,51424
2012/2013,2ª Nov,1834101
2012/2013,2ª Out,2541394
2012/2013,2ª Set,2206735
2013/2014,1ª Abr,196856
2013/2014,1ª Ago,2923188
2013/2014,1ª Dez,881624
2013/2014,1ª Fev,1
2013/2014,1ª Jan,8260
2013/2014,1ª Jul,2417440
2013/2014,1ª Jun,1798030
