ym,index_all,n_all,index_eu,n_eu,n_plants_eu
2017-01,-0.12247327317036949,45,0.2045587872931002,12,6
2017-02,-0.13272882007118897,63,0.1986333295371482,15,9
2017-03,-0.3096399531566348,74,-0.09381561768864678,18,7
2017-04,-0.27599653631333737,88,-0.114324277192188,28,11
2017-05,-0.27005314772726674,116,0.10751431832636635,31,11
2017-06,-0.2692948030616649,111,0.2659178886448221,25,11
2017-07,-0.3048702003732211,97,0.33687164440991674,17,9
2017-08,-0.05441346400703853,107,-0.04814381916183162,16,9
2017-09,-0.32755504122183504,83,-0.1696145635140398,18,9
2017-10,-0.11768477220853527,91,-0.08105752968301766,19,9
2017-11,0.09619458820787204,53,0.7601063006124339,12,7
2017-12,-0.037544519545836826,51,0.23990164247610812,13,6
2018-01,0.04857607811819212,57,0.5394068943947985,11,5
2018-02,-0.21407678175180536,67,-0.2604561936522775,19,9
2018-03,-0.06032936089792697,78,-0.27261734204062044,14,7
2018-04,-0.02058734817318571,107,0.12845024223803006,26,11
2018-05,0.21325003396259273,115,0.6776947086570616,23,10
2018-06,-0.11331746120850623,92,-0.3622571560385723,18,9
2018-07,-0.3525498677645511,111,-0.6180265623094537,31,10
2018-08,-0.1467434530095443,119,-0.68015526640022,27,11
2018-09,-0.2951077440374931,92,-0.09746071304987367,21,8
2018-10,-0.10363128252502797,109,-0.2286196224359381,22,11
2018-11,-0.1759027122166827,64,0.4155210246247197,13,9
2018-12,-0.3674575640980812,51,0.12118247858222969,9,5
2019-01,-0.14116376379584064,60,0.25600230601007967,13,8
2019-02,0.031044822135144323,83,0.3673925304890736,27,10
2019-03,-0.25572474941669604,67,0.46055079734533194,9,5
2019-04,-0.37254966666026523,85,-0.3459200568270069,18,8
2019-05,-0.03290830049873248,85,0.043119924290481254,19,8
2019-06,-0.09786760483418051,110,-0.35231032310136207,22,10
2019-07,-0.21369119118733199,104,-0.21617749475643155,25,11
2019-08,0.1243217466066025,103,0.2086268594658738,22,10
2019-09,-0.1099662972211481,84,0.11093359543171057,16,8
2019-10,-0.011987497438282594,97,0.251779469008403,22,9
2019-11,-0.06763455962159828,63,-0.26348992081703887,9,3
2019-12,0.011862962528177638,51,0.3236128482887307,7,5
