mill_id,name,country,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
90001,Point Lisas Industrial Estate (multiple ammonia trains),TTO,,,,,,,-0.31,-0.58,,2.37
90002,QAFCO Mesaieed,QAT,-0.18,0.46,-0.34,-0.51,0.47,0.4,-0.11,0.21,0.12,-0.21
90003,Dangote Fertilizer Lekki,NGA,0.19,-0.32,0.12,-0.18,,1.4,1.58,-0.68,2.0,6.64
90005,Shiraz Petrochemical,IRN,-0.02,0.26,-0.7,-0.41,0.79,1.15,0.31,0.15,-0.05,-0.42
90007,SAFCO / Maaden Al-Jubail,SAU,-0.31,-0.46,-0.01,0.59,0.29,-0.31,0.58,-0.25,0.59,0.4
90008,OMIFCO Sur,OMN,-0.03,-0.03,-0.1,0.06,0.08,0.01,0.02,-0.17,0.1,-0.15
90010,Ruwais Fertil,ARE,-0.35,0.0,0.1,0.15,0.06,0.56,0.4,0.18,0.46,0.57
33998934,CZE-Most_ammonia,CZE,-0.02,-0.26,0.31,-0.25,0.37,-0.28,0.66,0.59,-0.03,-0.02
33998943,BEL-Hainaut_ammonia,BEL,0.02,0.03,0.05,-0.46,0.48,-0.16,-0.7,1.2,-0.02,0.27
33999004,BEL-Antwerpen_ammonia,BEL,-0.42,0.02,0.18,0.05,0.12,-0.03,-0.72,0.34,-0.11,-0.46
33999044,HUN-Várpalota_ammonia,HUN,-0.21,0.39,-0.03,0.09,-0.23,-0.62,0.37,0.03,-0.62,-0.54
33999241,GBR-Stockton-on-Tees_ammonia,GBR,,,,,,,,,0.1,
33999247,HUN-Kazincbarcikai_ammonia,HUN,-0.04,-0.26,0.34,0.3,-0.4,-1.18,0.43,0.02,-0.14,-0.85
45257029,Abu Qir Fertilizer Complex,EGY,0.52,0.3,-0.35,0.16,-0.62,1.49,1.33,0.27,0.35,0.45
45257033,Aswan Kima Fertilizer Complex,EGY,-0.23,-0.33,0.06,0.27,0.25,0.58,0.54,0.34,0.5,0.86
45257036,Azomures Targu Mures Fertilizers,ROU,-0.14,-0.18,,-0.03,,0.26,0.16,-0.94,0.24,-1.03
45257037,Azot Cherkassy Fertilizers,UKR,-0.91,0.19,0.05,0.2,0.62,-0.09,0.6,0.23,0.2,0.34
45257055,Chemelot-Geleen Fertilizers facility,NLD,-0.15,-0.12,0.16,-0.16,0.45,-0.03,0.54,1.11,0.13,-0.53
45257062,Damietta Fertilizers Complex,EGY,0.09,0.07,0.13,-0.15,-0.11,0.53,0.34,0.9,1.18,1.44
45257068,Dimitrovgrad Fertilizer Complex,BGR,-0.16,0.4,0.23,0.13,-0.62,-0.38,0.37,-0.02,0.74,0.85
45257069,Dneprazot Fertilizers,UKR,-0.05,-0.65,0.3,-0.09,,-0.35,0.74,-0.56,-0.78,0.15
45257074,Duslo Sala Chemical Complex,SVK,-0.18,0.14,-0.2,0.22,-0.04,-0.54,0.16,0.55,0.23,-0.62
45257079,Ferrara Fertilizers facility,ITA,-0.31,0.62,-0.37,0.25,-0.24,0.09,-0.06,0.17,0.11,0.6
45257105,Helwan Fertilizer Plant,EGY,-0.28,-0.32,0.12,0.11,0.35,0.3,0.05,0.42,0.59,0.26
45257115,Jonava Fertilizer,LTU,-0.23,0.07,-0.19,0.24,0.11,-0.22,-0.62,-0.32,0.19,-0.56
45257127,Kutina Fertilizers Complex,HRV,-0.04,-0.18,-0.16,0.1,0.2,-0.05,0.12,0.01,-0.26,0.22
45257130,Le Havre Fertilizers,FRA,0.29,-0.03,-0.35,0.14,-0.08,-0.15,0.93,0.28,0.49,0.48
45257135,Linz Melamine and Fertilizers Complex,AUT,-0.05,0.12,-0.16,0.34,,0.83,-0.08,0.26,0.32,-0.37
45257139,Marv Dasht Petrochemical Complex,IRN,-0.22,-0.26,0.15,-0.17,0.46,0.49,0.43,-1.24,-0.24,-0.39
45257150,Nea Karvali Fertilizers,GRC,0.3,-0.47,0.26,0.17,-0.17,0.12,0.43,-0.0,0.13,-0.08
45257154,Nitrogenous Fertilizer Complex,EGY,-0.37,-0.3,-0.07,-0.57,1.15,1.33,0.93,1.3,1.56,0.97
45257156,Odessa Portside Fertilizers,UKR,-0.06,-0.02,0.49,0.08,-0.27,0.12,0.32,-0.31,-1.07,0.51
45257159,Ottmarsheim Fertilizers,FRA,-0.22,-0.21,0.28,0.02,0.18,-0.43,-0.27,-0.1,-0.21,-0.15
45257169,Puertollano Fertilizers,ESP,-0.18,-0.19,0.39,-0.17,0.07,0.36,0.15,-1.18,-0.79,-1.03
45257171,Rivneazot Fertilizers,UKR,-0.13,,,-0.25,,,,0.6,0.4,-0.76
