fleet,site_id,name,lat,lon,v2_total,v2_night,v3_total
sugar,21859,São Joaquim,-22.788987,-50.216346,900,514,188
sugar,54417,CEVN,-14.727346,-57.050606,672,263,164
sugar,20883,Usina Santa Terezinha - Unidade Paranacity,-23.457412,-51.992761,871,503,174
sugar,20884,Usina Santa Terezinha - Unidade Tapejara,-23.457425,-51.992754,871,503,174
sugar,50238,Cia. Müller de Bebidas (Porto Ferreira),-21.839129,-47.474777,1717,862,334
sugar,21006,Usina Aliança e Penápolis,-21.410177,-50.095132,1022,469,165
sugar,20654,Delta - Unidade Delta,-19.97577,-47.770688,1637,642,378
sugar,51705,Santa Mercedes,-22.107274,-50.164258,960,495,162
sugar,21988,Baldin - Unidade Taboão,-22.007653,-47.442941,1717,862,334
sugar,20803,Raízen - Unidade Rafard,-23.008585,-47.531004,1585,860,337
sugar,51152,Adecoagro - Unidade Ivinhema,-22.392239,-53.887189,1718,961,341
sugar,56102,Lida Nitro,-9.902855,-56.078908,631,339,160
sugar,21995,COFCO International - Unidade Sebastianópolis,-20.582125,-49.95232,2204,923,450
sugar,20013,Grupo Renuka do Brasil - Unidade Madhu,-21.634631,-49.840988,1042,490,194
sugar,20550,Raízen - Unidade Bonfim,-21.418966,-48.288949,1015,471,191
sugar,22641,Cocal - Unidade Narandiba,-22.532818,-51.505356,1015,541,167
sugar,20676,Raízen - Parque de Bioenergia Gasa,-20.770448,-51.259612,1082,434,223
sugar,20754,Nardini,-21.175152,-48.634298,1015,471,191
sugar,20749,bp bioenergy - Unidade Moema,-20.234012,-49.357435,1073,455,224
sugar,20490,Tereos - Cruz Alta,-20.692852,-49.10848,1073,455,224
sugar,20347,Álcool Ferreira,-22.496032241300185,-47.40303182568331,1717,862,334
sugar,20641,Raízen - Unidade Da Barra,-22.479604,-48.541243,958,477,169
sugar,25356,Atvos - Unidade Rio Claro,-18.794306,-51.010977,880,307,228
sugar,20018,Raízen - Parque de Bioenergia Univalem,-21.327942,-50.949095,2096,981,355
sugar,20520,Araporã,-18.441763,-49.189542,928,307,209
sugar,23389,Atvos - Unidade Conquista do Pontal,-22.398767,-52.103718,1011,557,185
sugar,20696,Da Mata,-21.051137,-50.844469,1022,469,165
sugar,22819,São Martinho - Boa Vista,-18.548725,-50.433934,861,301,212
sugar,51153,Atvos - Unidade Costa Rica,-18.463566,-53.16807,1780,520,420
sugar,20941,Usina Coruripe - Filial Iturama,-19.710077,-50.336244,1040,397,254
sugar,25006,Raízen - Unidade Caarapó,-22.613859,-54.696098,1481,851,290
sugar,20518,Alto Alegre - Unidade Junqueira - Matriz,-22.929077,-51.946158,1736,996,306
sugar,22625,COFCO International - Unidade Meridiano,-20.452542,-50.205772,1141,472,240
sugar,22633,COFCO International - Unidade Potirendaba,-21.105938,-49.327428,1042,490,194
sugar,20636,Raízen - Unidade Costa Pinto,-22.637224,-47.684649,3302,1722,671
sugar,22664,CMAA - Vale do Tijuco,-19.352479,-48.242555,953,347,214
