fortnight,published,official_Mt,sat_idx,official_z,pred_Mt,PI80
04H1,True,20.4,0.035,0.68,16.0,"[8.9, 23.1]"
04H2,True,40.01,-0.004,1.41,31.8,"[23.6, 39.9]"
05H1,True,42.75,0.121,0.72,43.6,"[37.6, 49.6]"
05H2,True,41.55,-0.032,0.23,43.1,"[38.2, 48.1]"
06H1,True,38.76,0.091,0.07,41.4,"[35.7, 47.0]"
06H2,True,31.03,-0.309,-2.23,42.4,"[37.2, 47.6]"
07H1,False,,0.248,,43.3,"[38.5, 48.1]"
07H2,False,,-0.194,,45.5,"[41.3, 49.7]"
08H1,False,,0.085,,43.2,"[39.4, 47.0]"
08H2,False,,0.249,,45.2,"[41.9, 48.5]"
