safra_start,year,month,half,moagem_t,clim_mean,clim_std,crush_z,q_ord,sat_idx,n_obs,pred_z,carry,sigma,pred_t,pi80_lo,pi80_hi
2017,2017,4,1,17680550,15354818.235294119,7400591.804197119,0.3142629435914683,9,-0.1462383573258777,111.0,-0.1717506778419443,0.0,0.7287236182413775,14083761.576491727,7172110.671880064,20995412.48110339
2017,2017,4,2,24264110,28043626.70588235,8516875.157387866,-0.4437680059926502,10,-0.3628481404679827,122.0,-0.2523488729477511,0.3142629435914683,0.7287236182413775,25894402.858878825,17940218.998523254,33848586.7192344
2017,2017,5,1,38573403,38255510.35294118,6248359.632209185,0.050876176431993776,11,-0.32222696112901295,124.0,-0.5089896740267903,-0.15950639989860577,0.7287236182413775,35075159.82054087,29239615.6307093,40910704.01037244
2017,2017,5,2,31690868,40362949.705882356,5126005.382997768,-1.6917816229078533,12,-0.3371822401959576,109.0,-0.45845186162891116,-0.0521683507503407,0.7287236182413775,38012922.99532721,33225581.566450167,42800264.42420426
2017,2017,6,1,39506908,38371575.375,5886870.709300845,0.19285842700881026,13,-0.1302634952560819,151.0,-0.6784104341874674,-0.8056670971462564,0.7287236182413775,34377860.86109773,28879922.812387142,39875798.90980832
2017,2017,6,2,47714846,43109819.4375,5425478.267419443,0.8487779944034907,14,-0.06057130138291685,118.0,-0.3025292605192429,-0.3725800377452039,0.7287236182413775,41468453.509294376,36401424.71388188,46535482.30470687
2017,2017,7,1,47999736,43630313.375,4973429.180907848,0.8785533011656168,15,-0.22874760156941007,188.0,-0.1892411173981059,0.1398721441109549,0.7287236182413775,42689136.079504654,38044290.47705583,47333981.681953475
2017,2017,7,2,50907254,47575715.4375,4402239.455398384,0.7567826776016459,16,-0.1435514601055641,198.0,0.12256846248474118,0.4438541578321246,0.7287236182413775,48115291.15903784,44003898.0273473,52226684.29072839
2017,2017,8,1,45436224,43714673.8125,3978554.0410951176,0.43270750371060296,17,0.1804066673638452,99.0,0.6344074997007391,0.5711638802064886,0.7287236182413775,46238698.33413543,42522998.648931034,49954398.01933982
2017,2017,8,2,39075604,44622249.0,3476766.8194732494,-1.5953457013376438,18,-0.08889153709829316,121.0,0.24160663498887175,0.5152175191894989,0.7287236182413775,45462258.93189389,42215194.48506036,48709323.37872743
2017,2017,9,1,45473110,40311478.3125,4017887.737201921,1.2846629933703893,19,0.0628770249558293,222.0,-0.11408756729238659,-0.3341435304931237,0.7287236182413775,39853087.27490872,36100652.584792405,43605521.96502504
2017,2017,9,2,40459978,35743300.0,6045467.473542648,0.7802007074956642,20,0.10475934313035715,198.0,0.36703437600956434,0.3157368258526263,0.7287236182413775,37962194.381837845,32316137.70990868,43608251.05376701
2017,2017,10,1,32519840,31758321.4375,5711183.589325024,0.13333813395937427,21,-0.04541657716645851,161.0,0.2903968223461802,0.5019276754623968,0.7287236182413775,33416831.00367564,28082972.811527446,38750689.19582383
2017,2017,10,2,30144226,30636118.5625,5779666.13063389,-0.08510743551307025,22,0.24071204924630046,114.0,0.5720956472966953,0.35429904562495695,0.7287236182413775,33942640.39866378,28544824.156793255,39340456.64053431
2017,2017,11,1,23449740,22908959.9375,5598769.207336156,0.09658909708073113,23,0.24405794775236758,123.0,0.46128953162279573,0.17839861026393417,0.7287236182413775,25491613.562816225,20262742.780529507,30720484.345102943
2017,2017,11,2,15270878,16667879.3125,6517680.900922543,-0.21434024367505655,24,0.16563300759702543,78.0,0.3361241894838211,0.14565941151099226,0.7287236182413775,18858629.52263677,12771557.530734275,24945701.514539268
2018,2018,4,1,22359918,15354818.235294119,7400591.804197119,0.9465594036321608,9,0.0794697942299932,142.0,0.21734723236561282,0.0,0.7078989808155235,16963316.381804,10249178.801173747,23677453.962434255
2018,2018,4,2,37810524,28043626.70588235,8516875.157387866,1.1467700434290697,10,-0.133680015941261,158.0,0.4085587081620216,0.9465594036321608,0.7078989808155235,31523270.217761952,23796392.006302774,39250148.42922113
2018,2018,5,1,42783759,38255510.35294118,6248359.632209185,0.7247099900774764,11,0.14623889846428786,189.0,0.8615113765007687,1.0716910535052289,0.7078989808155235,43638543.26055755,37969760.63696842,49307325.884146675
2018,2018,5,2,32634200,40362949.705882356,5126005.382997768,-1.5077529437478785,12,-0.31921705866979555,176.0,0.12430394929217697,0.8946598986951511,0.7078989808155235,41000132.419081934,36349598.20626676,45650666.63189711
2018,2018,6,1,42522623,38371575.375,5886870.709300845,0.7051365368771619,13,0.12656563568262993,54.0,0.17497207362500855,-0.20939012080991767,0.7078989808155235,39401613.35016869,34060789.14213546,44742437.55820192
2018,2018,6,2,45536937,43109819.4375,5425478.267419443,0.4473555035829913,14,0.06347513136750825,172.0,0.2915089292225026,0.18726439761785799,0.7078989808155235,44691394.7977554,39769165.80689085,49613623.78861994
2018,2018,7,1,45213543,43630313.375,4973429.180907848,0.31833762327967796,15,0.08024628671993181,194.0,0.3709453573344691,0.29639231197621485,0.7078989808155235,45475183.83968954,40963073.36911897,49987294.3102601
2018,2018,7,2,47666162,47575715.4375,4402239.455398384,0.020545579906855606,16,-0.21799855086792433,215.0,-0.038407301513724096,0.30542324481923444,0.7078989808155235,47406637.2994009,43412734.89964138,51400539.69916043
2018,2018,8,1,33690723,43714673.8125,3978554.0410951176,-2.519495954801925,17,-0.00793637157313111,107.0,0.19354469333670535,0.18952554250253933,0.7078989808155235,44484701.83430726,40875185.202308245,48094218.46630628
2018,2018,8,2,43523455,44622249.0,3476766.8194732494,-0.316039026214152,18,-0.12391373477490622,205.0,-0.5307357644730724,-0.9051145060580655,0.7078989808155235,42777004.50417225,39622730.98398231,45931278.02436219
2018,2018,9,1,38768930,40311478.3125,4017887.737201921,-0.3839202121595958,19,0.03013378790888031,141.0,-0.19490882310039448,-0.6680508810331044,0.7078989808155235,39528356.54229247,35883154.67670632,43173558.407878615
2018,2018,9,2,27832109,35743300.0,6045467.473542648,-1.3086152617018443,20,0.22211141402593995,85.0,0.13027649538161334,-0.553984785045564,0.7078989808155235,36530882.315396674,31046172.25024073,42015592.38055262
2018,2018,10,1,25627737,31758321.4375,5711183.589325024,-1.0734350142339835,21,-0.005149400859677493,60.0,-0.340857691684045,-0.8564954756358041,0.7078989808155235,29811620.582458872,24630187.342860542,34993053.8220572
2018,2018,10,2,24979098,30636118.5625,5779666.13063389,-0.9787798178369105,22,0.3101287591567842,105.0,0.052074209023169726,-0.9433847745296876,0.7078989808155235,30937090.104670763,25693526.535987377,36180653.67335415
2018,2018,11,2,14640847,16667879.3125,6517680.900922543,-0.3110051478913434,24,0.6199183712976982,55.0,0.6187828384244509,-0.6777685719528957,0.7078989808155235,20700908.400317684,14787785.851034258,26614030.94960111
2019,2019,4,1,13899536,15354818.235294119,7400591.804197119,-0.19664403520658716,9,0.5859980787789069,62.0,0.8568427886431835,0.0,0.7629428058277103,21695961.954412267,14459755.796044834,28932168.1127797
2019,2019,4,2,31728754,28043626.70588235,8516875.157387866,0.43268537180811284,10,0.11257120947548402,160.0,0.09788575433281108,-0.19664403520658716,0.7629428058277103,28877307.45522164,20549613.387703374,37205001.52273991
2019,2019,5,1,39040312,38255510.35294118,6248359.632209185,0.12560122868301452,11,0.39946889440037836,82.0,0.7212923001442754,0.19668684417760032,0.7629428058277103,42762404.04418598,36652836.1006272,48871971.98774476
2019,2019,5,2,44303830,40362949.705882356,5126005.382997768,0.7688014349709785,12,0.2874642594633021,130.0,0.547850593567976,0.16041867300689328,0.7629428058277103,43171234.79759032,38159090.80942488,48183378.78575577
2019,2019,6,1,42509449,38371575.375,5886870.709300845,0.7028986756006801,13,-0.016780968193974195,161.0,0.30217428273999375,0.4400063393506824,0.7629428058277103,40150436.30916606,34394327.71579701,45906544.90253511
2019,2019,6,2,46477476,43109819.4375,5425478.267419443,0.6207114647796352,14,0.045887416197467036,188.0,0.4551069153304632,0.5540297329358652,0.7629428058277103,45578992.11597773,40274027.284851156,50883956.9471043
2019,2019,7,1,40954319,43630313.375,4973429.180907848,-0.5380582044422566,15,-0.06188839695986144,146.0,0.3257054813658995,0.5820077689202613,0.7629428058277103,45250186.520406805,40387229.635434546,50113143.405379064
2019,2019,7,2,49848421,47575715.4375,4402239.455398384,0.5162612314768621,16,-0.01232412696471699,139.0,0.11804677709018367,0.12107830452063678,0.7629428058277103,48095385.61718903,43790930.905919105,52399840.32845895
2019,2019,8,1,42809380,43714673.8125,3978554.0410951176,-0.2275434248596541,17,0.1730025812605729,147.0,0.46511172300298587,0.28185185355650116,0.7629428058277103,45565145.93761424,41674965.52836067,49455326.34686781
2019,2019,8,2,47905009,44622249.0,3476766.8194732494,0.944199070703671,18,0.05873054600638003,208.0,0.18748992262455633,0.07601942555368478,0.7629428058277103,45274107.741966665,41874568.605648994,48673646.878284335
2019,2019,9,1,39568700,40311478.3125,4017887.737201921,-0.18486786119546358,19,-0.020514468254432396,167.0,0.2884066664270392,0.42540387779174843,0.7629428058277103,41470263.920864485,37541623.5152309,45398904.32649807
2019,2019,9,2,35173545,35743300.0,6045467.473542648,-0.09424498642883661,20,0.10037317264316552,168.0,0.30617734839785515,0.1804063383364473,0.7629428058277103,37594285.20087477,31683102.67389775,43505467.727851786
2019,2019,10,1,37590707,31758321.4375,5711183.589325024,1.0212218660596937,21,0.14324385466221812,108.0,0.2986362441980469,0.0703061442727056,0.7629428058277103,33463887.854541548,27879563.930986855,39048211.778096244
2019,2019,10,2,32759805,30636118.5625,5779666.13063389,0.36744102332206563,22,0.19584929000814286,210.0,0.5970390754315285,0.4511698674425124,0.7629428058277103,34086805.085436575,28435519.789025344,39738090.38184781
2019,2019,11,1,19891758,22908959.9375,5598769.207336156,-0.538904503073017,23,-0.21853007075621603,114.0,0.015385528225907413,0.41765206384772335,0.7629428058277103,22995099.959169813,17520693.413138304,28469506.50520132
2019,2019,11,2,10879954,16667879.3125,6517680.900922543,-0.8880344712305185,24,-0.19026282230335315,103.0,-0.17455507172581136,0.034849449037887184,0.7629428058277103,15530185.055353515,9157278.141776461,21903091.96893057
2020,2020,4,1,22510291,15354818.235294119,7400591.804197119,0.9668784543214204,9,0.5169508329122972,190.0,0.6667060401524795,0.0,0.7618036009202522,20288837.49185527,13063436.23459448,27514238.749116063
2020,2020,4,2,38191803,28043626.70588235,8516875.157387866,1.1915375189355368,10,0.11871450853220011,180.0,0.7725704338864626,0.9668784543214204,0.7618036009202522,34623512.64158233,26308253.25445827,42938772.028706394
2020,2020,5,1,42338660,38255510.35294118,6248359.632209185,0.6534754539432894,11,0.175482938992836,134.0,0.9241120043014753,1.1072903697052432,0.7618036009202522,44029694.49625844,37929249.18906321,50130139.80345367
2020,2020,5,2,42424941,40362949.705882356,5126005.382997768,0.40226085227241015,12,-0.17310203756117612,188.0,0.37126341384599193,0.8757521473777158,0.7618036009202522,42266047.96376704,37261387.96913897,47270707.9583951
2020,2020,6,1,41811625,38371575.375,5886870.709300845,0.5843596360227449,13,0.21370819049670767,111.0,0.7005525218945581,0.6581550448477038,0.7618036009202522,42495637.49646791,36748123.76382411,48243151.22911171
2020,2020,6,2,43116763,43109819.4375,5425478.267419443,0.0012798065272322276,14,-0.005822070148883938,158.0,0.42054065733892265,0.6261480146495086,0.7618036009202522,45391453.63445861,40094410.028780855,50688497.24013636
2020,2020,7,1,46755232,43630313.375,4973429.180907848,0.6283227349443384,15,0.10119061815038242,122.0,0.390677811995762,0.36396848318037417,0.7618036009202522,45573321.80551295,40717626.152058706,50429017.458967194
2020,2020,7,2,50840633,47575715.4375,4402239.455398384,0.7416492436585413,16,0.1482892978951278,213.0,0.5117903741504325,0.47275552481465327,0.7618036009202522,49828739.21547814,45530711.79586566,54126766.63509061
2020,2020,8,1,46580681,43714673.8125,3978554.0410951176,0.7203640211736615,17,0.17678695119806592,209.0,0.6111654331805445,0.58215042662622,0.7618036009202522,46146228.5164581,42261856.8160347,50030600.216881506
2020,2020,8,2,42248068,44622249.0,3476766.8194732494,-0.6828703572245038,18,-0.0022101158685536647,163.0,0.43192947653578395,0.6379986862275882,0.7618036009202522,46123967.072372064,42729504.033027336,49518430.11171679
2020,2020,9,1,44672503,40311478.3125,4017887.737201921,1.0854023239925168,19,0.01674910039225742,190.0,0.13611472338033087,0.10643691810412893,0.7618036009202522,40858371.990422465,36935597.7210124,44781146.25983253
2020,2020,9,2,40383654,35743300.0,6045467.473542648,0.7675757119375831,20,0.16229643430141943,206.0,0.5444196495492617,0.49944891641909767,0.7618036009202522,39034571.28330755,33132215.169126064,44936927.39748904
2020,2020,10,1,36986558,31758321.4375,5711183.589325024,0.9154383641724078,21,-0.240626895226598,181.0,0.130040969471293,0.6069336053988534,0.7618036009202522,32501009.288284365,26925023.721379682,38076994.85518905
2020,2020,10,2,26932127,30636118.5625,5779666.13063389,-0.6408660083093349,22,-0.13585063283556698,61.0,0.3285346141065322,0.7304968911349362,0.7618036009202522,32534938.944392398,26892091.989484545,38177785.89930025
2020,2020,11,1,20365242,22908959.9375,5598769.207336156,-0.4543352017737981,23,-0.031782454982657964,54.0,0.12341675194416797,0.18152153140548272,0.7618036009202522,23599941.847954452,18133709.53301212,29066174.162896786
2020,2020,11,2,8735795,16667879.3125,6517680.900922543,-1.2170102269623626,24,-0.19595993841090364,168.0,-0.22404964956757714,-0.07294080623652902,0.7618036009202522,15207595.190655014,8844204.123842966,21570986.25746706
2021,2021,4,1,15664985,15354818.235294119,7400591.804197119,0.04191107588584682,9,-0.12795194965736043,181.0,-0.048210200322796326,0.0,0.7523212789071013,14998034.221906532,7862568.981373421,22133499.46243964
2021,2021,4,2,29675241,28043626.70588235,8516875.157387866,0.19157428798311352,10,-0.07706275877524475,203.0,0.02619166214128601,0.04191107588584682,0.7523212789071013,28266697.822504167,20054940.134553406,36478455.51045493
2021,2021,5,1,41491812,38255510.35294118,6248359.632209185,0.5179442025673845,11,0.12165929831843458,92.0,0.28006391707906053,0.1354505834466385,0.7523212789071013,40005450.42685636,33980938.584344886,46029962.26936784
2021,2021,5,2,43738111,40362949.705882356,5126005.382997768,0.6584388899224677,12,-0.04209801143433425,117.0,0.2132070947834534,0.3306003891204885,0.7523212789071013,41455850.421435654,36513484.43221538,46398216.41065593
2021,2021,6,1,36554928,38371575.375,5886870.709300845,-0.30859304793798575,13,0.1245962149526274,99.0,0.4639142656510402,0.4812614648566921,0.7523212789071013,41102578.67708792,35426605.39912575,46778551.95505009
2021,2021,6,2,45544205,43109819.4375,5425478.267419443,0.44869510898582654,14,-0.1318263610590418,169.0,0.020308494290560405,0.1386805693003606,0.7523212789071013,43220002.73191745,37988892.48901989,48451112.974815
2021,2021,7,1,46187841,43630313.375,4973429.180907848,0.5142382714160111,15,-0.05491214053179789,217.0,0.16765235003265605,0.26875514455775606,0.7523212789071013,44464120.46490019,39668864.62786095,49259376.30193943
2021,2021,7,2,46974671,47575715.4375,4402239.455398384,-0.1365315184668,16,-0.20987659902059605,154.0,0.060645494252338034,0.36977634230223805,0.7523212789071013,47842691.42508978,43598162.413682364,52087220.43649719
2021,2021,8,1,44830772,43714673.8125,3978554.0410951176,0.28052859807147124,17,-0.06043780812040434,197.0,0.1070697350302897,0.1637934768288737,0.7523212789071013,44140656.53948374,40304634.39167166,47976678.687295824
2021,2021,8,2,43315847,44622249.0,3476766.8194732494,-0.37575197527855136,18,-0.3401317234256832,125.0,-0.1567412988878522,0.21096288427465143,0.7523212789071013,44077296.052785575,40725084.574816935,47429507.530754216
2021,2021,9,1,38575106,40311478.3125,4017887.737201921,-0.4321604848295784,19,-0.296537495436256,178.0,-0.23523991568578084,-0.02515074839352101,0.7523212789071013,39366310.739965685,35492364.02763531,43240257.452296056
2021,2021,9,2,36032224,35743300.0,6045467.473542648,0.04779183764769978,20,-0.26406881225197615,173.0,-0.28719038985722806,-0.1885474413596264,0.7523212789071013,34007099.8394041,28178211.534042824,39835988.14476538
2021,2021,10,2,17058751,30636118.5625,5779666.13063389,-2.3491612241295488,22,-0.32708191436476286,148.0,-0.7238077363317699,-0.8992618791250188,0.7523212789071013,26452751.503732484,20880142.19515858,32025360.81230639
2021,2021,11,1,12582198,22908959.9375,5598769.207336156,-1.8444700174403832,23,-0.3746870288606605,265.0,-1.0764007712308281,-1.479676454156846,0.7523212789071013,16882440.44477995,11484247.418371253,22280633.47118865
2021,2021,11,2,3875035,16667879.3125,6517680.900922543,-1.962790831120505,24,-0.43175648029649794,88.0,-1.211596758511857,-1.6256625199263428,0.7523212789071013,8771078.259927606,2486893.596338423,15055262.92351679
2022,2022,4,1,5287706,15354818.235294119,7400591.804197119,-1.360311783388016,9,-0.038015373474429584,155.0,-0.00942932596985592,0.0,0.7256222994584028,15285035.6428025,8402799.501532204,22167271.784072794
2022,2022,4,2,24014528,28043626.70588235,8516875.157387866,-0.47307241581290016,10,-0.06430189263249945,331.0,-0.8828637599484218,-1.360311783388016,0.7256222994584028,20524386.281419594,12604054.020205118,28444718.54263407
2022,2022,5,1,34289760,38255510.35294118,6248359.632209185,-0.6346866355928744,11,0.08510683465218195,252.0,-0.31013372293722063,-0.8057871786535686,0.7256222994584028,36317683.3179535,30506974.17168547,42128392.46422152
2022,2022,5,2,43792326,40362949.705882356,5126005.382997768,0.669015351699083,12,-0.28789444417369386,269.0,-0.8394531100907754,-0.7184909832144388,0.7256222994584028,36059908.544782825,31292941.1939818,40826875.89558385
2022,2022,6,1,38673147,38371575.375,5886870.709300845,0.051227832220527264,13,0.046754158426737344,191.0,0.07353330641518267,-0.08085020430197475,0.7256222994584028,38804456.44269358,33329916.645544052,44278996.239843115
