safra_start,year,month,half,moagem_t,clim_mean,clim_std,crush_z,q_ord,sat_idx,n_obs,pred_z,carry,sigma,pred_t,pi80_lo,pi80_hi
2017,2017,4,1,17680550,15354818.235294119,7400591.804197119,0.3142629435914683,9,-0.1823322049349161,111.0,-0.23492202354741804,0.0,0.7186701119089272,13616256.233203694,6799958.799232781,20432553.667174608
2017,2017,4,2,24264110,28043626.70588235,8516875.157387866,-0.4437680059926502,10,-0.3913601527475818,122.0,-0.34071224108137343,0.3142629435914683,0.7186701119089272,25141823.083998457,17297375.529435396,32986270.638561517
2017,2017,5,1,38573403,38255510.35294118,6248359.632209185,0.050876176431993776,11,-0.3698644121263454,124.0,-0.6099338391518833,-0.15950639989860577,0.7186701119089272,34444424.37406618,28689387.63451782,40199461.113614544
2017,2017,5,2,31690868,40362949.705882356,5126005.382997768,-1.6917816229078533,12,-0.36855928513835895,109.0,-0.5399223824560754,-0.0521683507503407,0.7186701119089272,37595304.66701154,32874009.63235864,42316599.70166443
2017,2017,6,1,39506908,38371575.375,5886870.709300845,0.19285842700881026,13,-0.16328331545816746,151.0,-0.7183050157902425,-0.8056670971462564,0.7186701119089272,34143006.61720054,28720918.388098545,39565094.84630253
2017,2017,6,2,47714846,43109819.4375,5425478.267419443,0.8487779944034907,14,-0.09960248469078403,118.0,-0.35053482576741823,-0.3725800377452039,0.7186701119089272,41208000.35832521,36210876.53759204,46205124.17905839
2017,2017,7,1,47999736,43630313.375,4973429.180907848,0.8785533011656168,15,-0.2547682889935577,188.0,-0.25193305909243247,0.1398721441109549,0.7186701119089272,42377342.147274315,37796577.05972656,46958107.23482207
2017,2017,7,2,50907254,47575715.4375,4402239.455398384,0.7567826776016459,16,-0.14320937909905995,198.0,0.10382413513066377,0.4438541578321246,0.7186701119089272,48032774.14159482,43978101.988681376,52087446.29450826
2017,2017,8,1,45436224,43714673.8125,3978554.0410951176,0.43270750371060296,17,0.18089671908909524,99.0,0.6578109597770998,0.5711638802064886,0.7186701119089272,46331810.26479784,42667372.5524177,49996247.97717797
2017,2017,8,2,39075604,44622249.0,3476766.8194732494,-1.5953457013376438,18,-0.06426176889714735,121.0,0.2643710562048067,0.5152175191894989,0.7186701119089272,45541405.51624197,42339137.727786124,48743673.30469781
2017,2017,9,1,45473110,40311478.3125,4017887.737201921,1.2846629933703893,19,0.0860131479507706,222.0,-0.055140051517695465,-0.3341435304931237,0.7186701119089272,40089931.77567837,36389265.856293306,43790597.69506343
2017,2017,9,2,40459978,35743300.0,6045467.473542648,0.7802007074956642,20,0.13897189426595968,198.0,0.4345306231545042,0.3157368258526263,0.7186701119089272,38370240.74853877,32802077.34791814,43938404.1491594
2017,2017,10,1,32519840,31758321.4375,5711183.589325024,0.13333813395937427,21,-0.014452406491091998,161.0,0.3286624796755723,0.5019276754623968,0.7186701119089272,33635373.19785,28375101.171662174,38895645.22403782
2017,2017,10,2,30144226,30636118.5625,5779666.13063389,-0.08510743551307025,22,0.2091352563297784,114.0,0.5614398619348189,0.35429904562495695,0.7186701119089272,33881053.51691244,28557705.809354015,39204401.22447086
2017,2017,11,1,23449740,22908959.9375,5598769.207336156,0.09658909708073113,23,0.25139737267343454,123.0,0.5115356769110214,0.17839861026393417,0.7186701119089272,25772930.133843284,20616197.106125504,30929663.161561064
2017,2017,11,2,15270878,16667879.3125,6517680.900922543,-0.21434024367505655,24,0.10835344734897248,78.0,0.2819123716229131,0.14565941151099226,0.7186701119089272,18505294.192760438,12502199.740881082,24508388.644639794
2018,2018,4,1,22359918,15354818.235294119,7400591.804197119,0.9465594036321608,9,0.08047736838753819,142.0,0.2363961234496259,0.0,0.6994747018845509,17104289.449039392,10470052.771352937,23738526.126725845
2018,2018,4,2,37810524,28043626.70588235,8516875.157387866,1.1467700434290697,10,-0.1533613683580917,158.0,0.35664609375361983,0.9465594036321608,0.6994747018845509,31081136.96175198,23446211.668834932,38716062.254669026
2018,2018,5,1,42783759,38255510.35294118,6248359.632209185,0.7247099900774764,11,0.13860052988349308,189.0,0.8490491969848322,1.0716910535052289,0.6994747018845509,43560675.08114083,37959353.22146628,49161996.94081538
2018,2018,5,2,32634200,40362949.705882356,5126005.382997768,-1.5077529437478785,12,-0.3494681401142406,176.0,0.04171142779943987,0.8946598986951511,0.6994747018845509,40576762.70931481,35981571.70004776,45171953.718581855
2018,2018,6,1,42522623,38371575.375,5886870.709300845,0.7051365368771619,13,0.1297877476300791,54.0,0.2062275841687231,-0.20939012080991767,0.6994747018845509,39585610.49969273,34308344.22021864,44862876.77916682
2018,2018,6,2,45536937,43109819.4375,5425478.267419443,0.4473555035829913,14,0.022918556874518145,172.0,0.24351378759446424,0.18726439761785799,0.6994747018845509,44430998.19991076,39567345.68832493,49294650.71149659
2018,2018,7,1,45213543,43630313.375,4973429.180907848,0.31833762327967796,15,0.06066513422766708,194.0,0.3528715035535662,0.29639231197621485,0.6994747018845509,45385294.807884134,40926880.24337019,49843709.37239808
2018,2018,7,2,47666162,47575715.4375,4402239.455398384,0.020545579906855606,16,-0.2039352098146637,215.0,-0.03319262166183651,0.30542324481923444,0.6994747018845509,47429593.56879215,43483220.19330088,51375966.94428342
2018,2018,8,1,33690723,43714673.8125,3978554.0410951176,-2.519495954801925,17,-0.011845603942552158,107.0,0.19331958828213314,0.18952554250253933,0.6994747018845509,44483806.24168272,40917244.29070178,48050368.19266367
2018,2018,8,2,43523455,44622249.0,3476766.8194732494,-0.316039026214152,18,-0.15831496356549155,205.0,-0.5609994445501427,-0.9051145060580655,0.6994747018845509,42671784.74544514,39555048.33249619,45788521.15839409
2018,2018,9,1,38768930,40311478.3125,4017887.737201921,-0.3839202121595958,19,-0.01327871285339325,141.0,-0.23040408410695884,-0.6680508810331044,0.6994747018845509,39385740.56836541,35783918.05224524,42987563.08448558
2018,2018,9,2,27832109,35743300.0,6045467.473542648,-1.3086152617018443,20,0.21640373547234262,85.0,0.164645269907848,-0.553984785045564,0.6994747018845509,36738657.62390055,31319217.786130942,42158097.46167015
2018,2018,10,1,25627737,31758321.4375,5711183.589325024,-1.0734350142339835,21,-0.03177438944494301,60.0,-0.35034513364657016,-0.8564954756358041,0.6994747018845509,29757436.059617825,24637663.932770785,34877208.18646486
2018,2018,10,2,24979098,30636118.5625,5779666.13063389,-0.9787798178369105,22,0.2633252905311258,105.0,0.042453335803778414,-0.9433847745296876,0.6994747018845509,30881484.669577524,25700321.589229334,36062647.74992571
2018,2018,11,2,14640847,16667879.3125,6517680.900922543,-0.3110051478913434,24,0.5225261889532505,55.0,0.5555730652470703,-0.6777685719528957,0.6994747018845509,20288927.268927824,14446173.225685755,26131681.312169895
2019,2019,4,1,13899536,15354818.235294119,7400591.804197119,-0.19664403520658716,9,0.5348221159300485,62.0,0.8394156821847718,0.0,0.7553316265690652,21566991.053185273,14402973.873864695,28731008.23250585
2019,2019,4,2,31728754,28043626.70588235,8516875.157387866,0.43268537180811284,10,0.09889439739510222,160.0,0.10090175212929917,-0.19664403520658716,0.7553316265690652,28902994.33192929,20658378.01529206,37147610.648566514
2019,2019,5,1,39040312,38255510.35294118,6248359.632209185,0.12560122868301452,11,0.31382727611175004,82.0,0.6348159249113049,0.19668684417760032,0.7553316265690652,42222068.55204051,36173450.15339663,48270686.95068439
