quinzena_start,index,n_obs,n_mills
2017-01-01,-0.09901371284791195,73,59
2017-01-16,-0.19585352855825844,54,47
2017-02-01,0.04108432399076466,128,102
2017-02-16,0.09910486854550807,160,119
2017-03-01,0.04808616226966523,131,107
2017-03-16,-0.13224977052704315,96,73
2017-04-01,-0.1462383573258777,111,82
2017-04-16,-0.3628481404679827,122,93
2017-05-01,-0.32222696112901295,124,85
2017-05-16,-0.3371822401959576,109,90
2017-06-01,-0.1302634952560819,151,114
2017-06-16,-0.06057130138291685,118,88
2017-07-01,-0.22874760156941007,188,132
2017-07-16,-0.1435514601055641,198,135
2017-08-01,0.1804066673638452,99,80
2017-08-16,-0.08889153709829316,121,90
2017-09-01,0.0628770249558293,222,151
2017-09-16,0.10475934313035715,198,136
2017-10-01,-0.04541657716645851,161,117
2017-10-16,0.24071204924630046,114,83
2017-11-01,0.24405794775236758,123,96
2017-11-16,0.16563300759702543,78,63
2017-12-01,-0.06410571956598286,58,45
2017-12-16,-0.07941719057705877,41,36
2018-01-01,-0.03437666770797056,25,22
2018-01-16,0.04638683511146284,104,84
2018-02-01,-0.046595958831437786,120,89
2018-02-16,-0.05004985926609622,81,68
2018-03-01,0.2974856582246892,159,117
2018-03-16,-0.1383601246904523,171,127
2018-04-01,0.0794697942299932,142,102
2018-04-16,-0.133680015941261,158,114
2018-05-01,0.14623889846428786,189,133
2018-05-16,-0.31921705866979555,176,121
2018-06-01,0.12656563568262993,54,47
2018-06-16,0.06347513136750825,172,121
2018-07-01,0.08024628671993181,194,136
2018-07-16,-0.21799855086792433,215,144
2018-08-01,-0.00793637157313111,107,82
2018-08-16,-0.12391373477490622,205,142
2018-09-01,0.03013378790888031,141,100
2018-09-16,0.22211141402593995,85,69
2018-10-01,-0.005149400859677493,60,51
2018-10-16,0.3101287591567842,105,80
2018-11-01,0.05930531268597778,18,17
2018-11-16,0.6199183712976982,55,46
2018-12-01,0.235626233901421,95,81
2018-12-16,0.3314377588975859,65,50
2019-01-01,-0.03259208071932468,122,91
2019-01-16,0.15497487551914066,147,106
2019-02-01,-0.2764341688337784,70,53
2019-02-16,0.06345442762369416,38,31
2019-03-01,0.14193918880455875,86,67
2019-03-16,0.21563091954175995,183,131
2019-04-01,0.5859980787789069,62,51
2019-04-16,0.11257120947548402,160,116
2019-05-01,0.39946889440037836,82,66
2019-05-16,0.2874642594633021,130,102
2019-06-01,-0.016780968193974195,161,118
2019-06-16,0.045887416197467036,188,136
2019-07-01,-0.06188839695986144,146,104
2019-07-16,-0.01232412696471699,139,98
2019-08-01,0.1730025812605729,147,106
2019-08-16,0.05873054600638003,208,144
2019-09-01,-0.020514468254432396,167,122
2019-09-16,0.10037317264316552,168,116
2019-10-01,0.14324385466221812,108,85
2019-10-16,0.19584929000814286,210,146
2019-11-01,-0.21853007075621603,114,83
2019-11-16,-0.19026282230335315,103,73
2019-12-01,-0.1765493422627377,23,21
2019-12-16,0.46370058698062666,95,79
2020-01-01,0.2598452428424402,86,72
2020-01-16,0.13804965388020238,84,60
2020-02-01,0.11055340435606746,66,52
2020-02-16,0.20025913042012042,76,59
2020-03-01,0.18622121468522487,121,93
2020-03-16,0.161065488055763,126,93
2020-04-01,0.5169508329122972,190,129
2020-04-16,0.11871450853220011,180,126
2020-05-01,0.175482938992836,134,91
2020-05-16,-0.17310203756117612,188,131
2020-06-01,0.21370819049670767,111,81
2020-06-16,-0.005822070148883938,158,122
2020-07-01,0.10119061815038242,122,88
2020-07-16,0.1482892978951278,213,142
2020-08-01,0.17678695119806592,209,147
2020-08-16,-0.0022101158685536647,163,119
2020-09-01,0.01674910039225742,190,144
2020-09-16,0.16229643430141943,206,148
2020-10-01,-0.240626895226598,181,126
2020-10-16,-0.13585063283556698,61,42
2020-11-01,-0.031782454982657964,54,45
2020-11-16,-0.19595993841090364,168,125
2020-12-01,-0.39027072086204995,64,49
2020-12-16,0.013925392668859242,84,59
2021-01-01,0.07376415535204664,43,37
2021-01-16,-0.1535633804255286,59,45
2021-02-01,0.0251677748069973,119,90
2021-02-16,-0.11853649913376685,93,68
2021-03-01,-0.12929457332485084,68,53
2021-03-16,-0.015022148427555835,159,113
2021-04-01,-0.12795194965736043,181,128
2021-04-16,-0.07706275877524475,203,141
2021-05-01,0.12165929831843458,92,75
2021-05-16,-0.04209801143433425,117,92
2021-06-01,0.1245962149526274,99,73
2021-06-16,-0.1318263610590418,169,128
2021-07-01,-0.05491214053179789,217,148
2021-07-16,-0.20987659902059605,154,111
2021-08-01,-0.06043780812040434,197,139
2021-08-16,-0.3401317234256832,125,98
2021-09-01,-0.296537495436256,178,120
2021-09-16,-0.26406881225197615,173,123
2021-10-01,0.1973153217425359,14,10
2021-10-16,-0.32708191436476286,148,104
2021-11-01,-0.3746870288606605,265,105
2021-11-16,-0.43175648029649794,88,71
2021-12-01,-0.24992583736738988,228,130
2021-12-16,-0.06530073157338419,223,124
2022-01-01,-0.21596212436437542,76,51
2022-01-16,0.03234912732762468,190,118
2022-02-01,-0.11128205951865788,141,89
2022-02-16,0.02817315273140757,170,94
2022-03-01,0.019919991777854282,144,109
2022-03-16,-0.43100243815448414,175,111
2022-04-01,-0.038015373474429584,155,105
2022-04-16,-0.06430189263249945,331,149
2022-05-01,0.08510683465218195,252,124
2022-05-16,-0.28789444417369386,269,136
2022-06-01,0.046754158426737344,191,107
2022-06-16,-0.15527328966339982,241,123
2022-07-01,-0.03946525386297811,314,148
2022-07-16,0.0235299921607008,345,143
2022-08-01,-0.21721103586947726,172,94
2022-08-16,-0.3140427146187114,83,70
2022-09-01,-0.2877796004784663,114,80
2022-09-16,0.4777712279425556,52,36
2022-10-01,0.17077320888139194,144,103
2022-10-16,0.1497579148393076,224,137
2022-11-01,0.10931475573056193,194,119
2022-11-16,0.11839846646686737,367,140
2022-12-01,-0.7892973313151023,59,45
2022-12-16,-0.030155199740953466,84,61
2023-01-01,0.1724255848973479,73,58
2023-01-16,-0.05921296639062341,90,68
2023-02-01,0.25312961192138256,125,88
2023-02-16,0.05803699980325027,52,40
2023-03-01,0.10964225540374083,106,76
2023-03-16,-0.04590177445660893,267,138
2023-04-01,0.25266222618226675,329,146
2023-04-16,-0.32007436294309954,229,121
2023-05-01,0.2151293427113307,402,149
2023-05-16,0.04819848520670641,206,128
2023-06-01,0.18709513821396775,209,140
2023-06-16,0.06892613217847716,290,120
2023-07-01,0.1841522613534163,273,140
2023-07-16,0.18826471958847293,295,124
2023-08-01,0.15441328578350266,384,151
2023-08-16,0.13863547331696013,266,127
2023-09-01,0.165522875989101,343,144
2023-09-16,0.37402043460737955,290,137
2023-10-01,-0.054685940091914846,208,121
2023-10-16,0.28906567878263856,183,119
2023-11-01,0.2620055713356692,372,148
2023-11-16,0.1170297607058739,134,77
2023-12-01,0.0990268753934279,305,130
2023-12-16,0.19556299102784913,221,115
2024-01-01,-0.15165321820002056,180,115
2024-01-16,0.12790930789281,282,145
2024-02-01,0.009749753301099779,240,121
2024-02-16,-0.025183672749342075,229,123
2024-03-01,0.13706604070066541,355,147
2024-03-16,-0.0983789423057334,123,83
2024-04-01,-0.11917525446156292,214,135
2024-04-16,-0.012357875532524973,302,146
2024-05-01,0.12060740993696505,296,146
2024-05-16,-0.07205475231385888,350,149
2024-06-01,0.08066968974098984,370,152
2024-06-16,-0.02575605104555661,355,152
2024-07-01,-0.09035498018266905,235,116
2024-07-16,-0.09044145381724454,406,153
2024-08-01,-0.10904912855875963,358,145
2024-08-16,-0.10490238693337148,439,153
2024-09-01,-0.2826122595639854,408,150
2024-09-16,-0.14513968461440643,368,152
2024-10-01,-0.17620206439973984,253,145
2024-10-16,-0.08602095898632589,200,123
2024-11-01,-0.15126443193730166,113,80
2024-11-16,0.08617650730454898,170,121
2024-12-01,-0.24006419143515656,91,67
2024-12-16,0.05935018877907134,90,74
2025-01-01,0.06235082866971525,244,123
2025-01-16,-0.07020402868322394,162,111
2025-02-01,-0.11964252424715618,143,94
2025-02-16,0.009111422873455535,270,134
2025-03-01,0.0781577677275253,348,147
2025-03-16,-0.31853263309315527,213,132
2025-04-01,-0.0550533706584217,217,137
2025-04-16,-0.17725671121672093,93,65
2025-05-01,0.042601661028898834,258,134
2025-05-16,-0.17126656522203376,338,146
