datetime,index,n_obs,n_mills
2017-01-01,0.1412866025670966,22,11
2017-02-01,0.481018816379485,37,18
2017-03-01,0.4717461864419502,28,15
2017-04-01,-0.09065594907648142,43,18
2017-05-01,-0.30125257590885834,32,17
2017-06-01,0.08167416235023665,44,19
2017-07-01,0.1582086373832177,55,20
2017-08-01,0.6318020632562467,40,16
2017-09-01,0.355181237917711,61,20
2017-10-01,0.3439175146219913,37,19
2017-11-01,0.40146925521030785,42,18
2017-12-01,0.4399318078254051,16,10
2018-01-01,0.39950674613924714,20,12
2018-02-01,-0.03916478677489038,38,17
2018-03-01,-0.030470457563240003,44,18
2018-04-01,-0.06416317680314258,59,19
2018-05-01,-0.16189884543990063,57,20
2018-06-01,-0.0054038979160172486,24,16
2018-07-01,-0.3903030739980637,59,20
2018-08-01,0.20479405176721535,51,20
2018-09-01,-0.0064458323943314,31,16
2018-10-01,0.051015611950972366,25,12
2018-11-01,0.42290708674531746,12,9
2018-12-01,-0.28708326888784025,28,17
2019-01-01,0.17728982343380786,39,18
2019-02-01,0.047775963980332126,19,11
2019-03-01,0.31646788302019707,43,20
2019-04-01,0.2819774265708854,31,16
2019-05-01,0.35930799795557306,30,18
2019-06-01,0.1128603068509942,51,19
2019-07-01,0.02556412397673566,42,19
2019-08-01,0.1383677037119462,52,19
2019-09-01,0.17269593422282056,53,20
2019-10-01,0.18968857586807486,49,20
2019-11-01,-0.33896019262236105,38,15
2019-12-01,0.5281684245088573,15,11
2020-01-01,-0.08609341392041917,27,14
2020-02-01,-0.23321633998029276,16,12
2020-03-01,0.19002768777055498,44,17
2020-04-01,0.3135182314736294,60,20
2020-05-01,0.04935349344821649,47,20
2020-06-01,-0.15143685708597598,41,18
2020-07-01,-0.12816672011181413,42,18
2020-08-01,-0.09373350122346165,53,20
2020-09-01,-0.30355024837039934,54,20
2020-10-01,-0.35053946726296603,35,16
2020-11-01,0.022412814468050612,33,16
2020-12-01,-0.27682816901117846,23,11
2021-01-01,0.5406497376797007,11,8
2021-02-01,-0.023056906423381512,40,15
2021-03-01,-0.2440359546911078,37,18
2021-04-01,-0.03306847804326863,62,20
2021-05-01,-0.04411222989049013,24,14
2021-06-01,0.01778599932115826,44,19
2021-07-01,-0.23929740685701661,56,20
2021-08-01,-0.6450167848415336,51,20
2021-09-01,-0.3768888589917765,48,20
2021-10-01,-0.5942514799924009,24,15
2021-11-01,-0.4109250158429314,63,19
2021-12-01,-0.039424916750483104,64,19
2022-01-01,-0.32366003603553606,39,17
2022-02-01,0.14846658430361526,47,16
2022-03-01,-0.3752567459309224,45,19
2022-04-01,-0.099241757667935,62,19
2022-05-01,-0.014813781869972634,85,20
2022-06-01,-0.23889317805731375,54,19
2022-07-01,-0.2221879044915055,93,20
2022-08-01,-0.0935101355077739,51,16
2022-09-01,-0.03217300474491156,24,11
2022-10-01,0.060160295317253476,56,20
2022-11-01,-0.1112710963638795,81,19
2022-12-01,-0.3639209906067854,21,11
2023-01-01,-0.09233897742453816,23,15
2023-02-01,-0.3411685213819158,22,16
2023-03-01,-0.25613966463178334,46,19
2023-04-01,-0.1633143656174316,79,20
2023-05-01,-0.013965629990941019,87,20
2023-06-01,-0.18915590109527175,72,20
2023-07-01,0.34577065145732844,68,20
2023-08-01,-0.02558868842748483,93,19
2023-09-01,0.2209779698082852,98,20
2023-10-01,-0.0930049332260737,59,18
2023-11-01,0.21848051247791253,76,19
2023-12-01,0.18256738777033346,67,20
2024-01-01,-0.09590059588620145,72,20
2024-02-01,-0.09649843985675118,72,19
2024-03-01,-0.13819291014139756,70,20
2024-04-01,0.013896678828486586,85,20
2024-05-01,-0.07594298925342986,99,20
2024-06-01,0.01203355854155913,105,20
2024-07-01,-0.0425280208437459,94,20
2024-08-01,0.02501448356401697,116,20
2024-09-01,-0.00858837213077457,113,20
2024-10-01,0.06349222864191037,70,20
2024-11-01,0.5957768413209532,37,15
2024-12-01,-0.03428942392093392,23,12
2025-01-01,0.10733537284673066,61,19
2025-02-01,0.03335544225830581,64,20
2025-03-01,-0.03964448904094509,77,20
2025-04-01,-0.22569803417236067,39,20
2025-05-01,0.1303783609141793,95,20
2025-06-01,0.15062699206413485,103,20
2025-07-01,0.3469821513247239,87,20
2025-08-01,-0.023263579865496205,112,20
2025-09-01,-0.20576850583993989,78,20
2025-10-01,0.021155740333399987,43,14
2025-11-01,-0.19627183465493314,69,20
2025-12-01,-0.04075285849733694,45,14
2026-01-01,-0.1866127195856786,35,12
2026-02-01,-0.16796564079801762,43,19
2026-03-01,0.26328424619381235,63,19
2026-04-01,0.07979742576334507,111,20
2026-05-01,0.054749986706151534,81,20
2026-06-01,0.09441007288971806,63,20
2026-07-01,0.03294096422140433,91,20
2026-08-01,0.025780537350353922,70,20
