feature,robust,acq_demean,r_month,r_fortnight,reliability,validity
core25_anom,False,False,0.4,0.351,0.73,0.47
core25_anom,True,False,0.387,0.313,0.68,0.47
core15_anom,False,False,0.382,0.325,0.72,0.45
core15_anom,True,False,0.356,0.288,0.71,0.42
core9_anom,False,False,0.354,0.309,0.75,0.41
core5_anom,False,False,0.351,0.302,0.74,0.41
core9_anom,True,False,0.336,0.276,0.69,0.4
core5_anom,True,False,0.322,0.247,0.69,0.39
hot3_cnt,True,False,0.221,0.04,0.82,0.24
core25_anom,False,True,0.167,0.245,-1.35,
core15_anom,False,True,0.164,0.224,-1.5,
core5_anom,True,True,0.146,0.137,-1.78,
core9_anom,False,True,0.141,0.2,-1.4,
core5_anom,False,True,0.135,0.172,-1.41,
core9_anom,True,True,0.129,0.136,-1.76,
hot3_cnt,False,False,0.127,-0.003,0.81,0.14
core25_anom,True,True,0.126,0.215,-1.79,
core15_anom,True,True,0.104,0.151,-1.67,
hot3_cnt,True,True,0.041,-0.125,-0.37,
hot3_cnt,False,True,-0.055,-0.095,-0.93,
ctrl_score,True,False,-0.057,-0.084,0.45,-0.09
ctrl_score,False,False,-0.06,-0.106,0.46,-0.09
ctrl_score,False,True,-0.076,-0.123,-1.62,
ctrl_score,True,True,-0.113,-0.151,-1.57,
