q_end,idx,pos,ret,entry,exit,yr
2019-05-31,0.7192587954217917,-1,-0.03279999999999994,2019-06-03,2019-06-13,2019
2019-07-15,0.19107489635744412,-1,-0.051948051948051965,2019-07-18,2019-07-30,2019
2020-04-15,0.7346688241724875,-1,0.0721247563352827,2020-04-20,2020-04-28,2020
2020-05-15,0.38084664295448156,-1,-0.0009174311926605228,2020-05-18,2020-05-28,2020
2020-06-15,0.4889435944912879,-1,0.006644518272425071,2020-06-18,2020-06-30,2020
2020-07-15,0.5133978044176913,-1,-0.024744027303754246,2020-07-20,2020-07-28,2020
2020-07-31,0.5224144694968357,-1,-0.02407825432656141,2020-08-03,2020-08-13,2020
2020-08-15,0.15603771668652647,-1,0.01636904761904756,2020-08-18,2020-08-28,2020
2020-08-31,0.1628159652839953,-1,0.0023547880690737433,2020-09-03,2020-09-15,2020
2020-09-30,0.37749030851864523,-1,-0.029390154298310156,2020-10-05,2020-10-13,2020
2020-10-15,-0.23725533973324897,1,0.01154891304347827,2020-10-19,2020-10-28,2020
2021-04-30,-0.18337921173725116,1,0.03297362110311752,2021-05-03,2021-05-13,2021
2021-05-15,0.2873351924724674,-1,-0.001728110599078514,2021-05-18,2021-05-28,2021
2021-05-31,0.22386363322038913,-1,0.016018306636155666,2021-06-03,2021-06-15,2021
2021-06-15,0.35369035258843445,-1,-0.05282112845138043,2021-06-18,2021-06-29,2021
2021-06-30,-0.16037093900927554,1,-0.044208170117515544,2021-07-06,2021-07-13,2021
2021-08-31,-0.38226733093360404,1,-0.032480314960629975,2021-09-03,2021-09-14,2021
2021-09-15,-0.15744614681473024,1,0.012761613067891808,2021-09-20,2021-09-28,2021
2021-09-30,-0.2585529351314571,1,0.008633824276282231,2021-10-04,2021-10-13,2021
2021-10-31,-0.4554641425373304,1,0.018575851393188847,2021-11-03,2021-11-15,2021
2021-11-15,-0.7993848164916814,1,-0.0782953419226956,2021-11-18,2021-11-30,2021
2021-11-30,-0.6695611284983495,1,0.04799999999999982,2021-12-03,2021-12-14,2021
2022-05-15,0.1833716874097602,-1,0.01904761904761898,2022-05-18,2022-05-31,2022
2022-05-31,-0.2185453007942962,1,-0.034411915767847856,2022-06-03,2022-06-14,2022
2022-06-30,-0.16581849924076697,1,0.07528089887640443,2022-07-05,2022-07-13,2022
2022-08-15,-0.18333268712332193,1,0.010692177827799743,2022-08-18,2022-08-30,2022
2022-09-15,-0.30287101846653003,1,0.01957397812320094,2022-09-19,2022-09-28,2022
2022-09-30,0.47758952263021054,-1,-0.07979334098737056,2022-10-03,2022-10-13,2022
2022-10-15,0.35763447599039627,-1,0.05838243170862367,2022-10-18,2022-10-28,2022
2022-10-31,0.2127496580066296,-1,-0.0985381700054142,2022-11-03,2022-11-15,2022
2022-11-15,0.46145600457388825,-1,0.025935162094763098,2022-11-18,2022-11-29,2022
2022-11-30,0.30903936643262414,-1,-0.010741687979539671,2022-12-05,2022-12-13,2022
2023-04-15,0.34800146248864394,-1,-0.10066833751044268,2023-04-18,2023-04-28,2023
2023-04-30,-0.3563007334438493,1,0.04468599033816423,2023-05-03,2023-05-15,2023
2023-05-15,0.3573360391660402,-1,0.022520742789411297,2023-05-18,2023-05-31,2023
2023-06-15,0.3693132927444977,-1,0.13177103342297347,2023-06-20,2023-06-28,2023
2023-07-15,0.3066343538959618,-1,-0.0025146689019279744,2023-07-18,2023-07-28,2023
2023-08-15,0.32838611743841023,-1,-0.07065669160432275,2023-08-18,2023-08-29,2023
2023-08-31,0.2320999711451747,-1,0.0033457249070631967,2023-09-05,2023-09-13,2023
2023-09-15,0.27264178566734704,-1,0.014619883040935644,2023-09-18,2023-09-28,2023
2023-09-30,0.39995040166466433,-1,-0.052980132450331174,2023-10-03,2023-10-13,2023
2023-10-31,0.46831111466422987,-1,0.02124594886568243,2023-11-03,2023-11-14,2023
2023-11-15,0.4459673775747077,-1,0.020682148040638615,2023-11-20,2023-11-28,2023
2023-11-30,0.20050290054360886,-1,0.1487795428128632,2023-12-04,2023-12-13,2023
2024-05-15,0.21781050690552448,-1,0.01927194860813697,2024-05-20,2024-05-29,2024
2024-06-15,0.1531721542346593,-1,-0.06898367561874674,2024-06-18,2024-06-28,2024
2024-09-15,-0.29425750209979057,1,0.042691415313224956,2024-09-18,2024-09-30,2024
2024-10-15,-0.1882101347456103,1,-0.004508566275924331,2024-10-18,2024-10-29,2024
2024-10-31,-0.1546570510206359,1,-0.03465572275421791,2024-11-04,2024-11-13,2024
2024-11-15,-0.2724811260911013,1,-0.05045045045045049,2024-11-18,2024-11-29,2024
2025-04-30,-0.3809236098863536,1,0.04483541430192961,2025-05-05,2025-05-13,2025
2025-05-31,-0.163299902448488,1,-0.03381924198250719,2025-06-03,2025-06-13,2025
2025-06-30,-0.15028778005274668,1,0.01098901098901095,2025-07-03,2025-07-15,2025
2025-07-31,0.16584832683377004,-1,-0.038507109004739526,2025-08-04,2025-08-13,2025
2025-10-31,-0.1730117183158137,1,-0.01433447098976115,2025-11-03,2025-11-13,2025
2025-11-15,-0.2833407474190587,1,0.004081632653061273,2025-11-18,2025-12-01,2025
2026-05-15,0.1626537033284711,-1,0.05259697567389876,2026-05-18,2026-05-28,2026
2026-06-30,-0.36906727821750357,1,-0.0223390275952694,2026-07-06,2026-07-14,2026
2026-07-15,0.29821986121238103,-1,0.018218623481781382,2026-07-20,2026-07-28,2026
2026-07-31,-0.22055894067953366,1,0.11942174732872401,2026-08-03,2026-08-13,2026
