group,ym,z,n
egypt_control,2024-01-01,0.6959574811096559,11
egypt_control,2024-02-01,0.4047804560728491,8
egypt_control,2024-03-01,0.46244073832193094,9
egypt_control,2024-04-01,0.3846446656103083,10
egypt_control,2024-05-01,0.15766125330549707,14
egypt_control,2024-06-01,0.2051069818168656,17
egypt_control,2024-07-01,0.030185560320051104,14
egypt_control,2024-08-01,0.22659164395350567,16
egypt_control,2024-09-01,0.12773533662903064,16
egypt_control,2024-10-01,0.3058827071261563,17
egypt_control,2024-11-01,0.4453821933743613,14
egypt_control,2024-12-01,0.1877937310656376,8
egypt_control,2025-01-01,0.5852257038823291,9
egypt_control,2025-02-01,1.166694883318691,11
egypt_control,2025-03-01,0.8583893993484479,11
egypt_control,2025-04-01,0.2961910842595212,11
egypt_control,2025-05-01,0.3506987301624688,14
egypt_control,2025-06-01,0.37482155422198804,17
egypt_control,2025-07-01,0.40838644543091346,19
egypt_control,2025-08-01,0.06905281144581384,18
egypt_control,2025-09-01,-0.04336178436729921,17
egypt_control,2025-10-01,0.33796549381938934,10
egypt_control,2025-11-01,0.8491489900945923,5
egypt_control,2025-12-01,0.1288059471301502,8
egypt_control,2026-01-01,0.30183422356448836,12
egypt_control,2026-02-01,0.2974301159379633,12
egypt_control,2026-03-01,0.5639560317364848,7
egypt_control,2026-04-01,-0.6028248716575553,9
egypt_control,2026-05-01,0.13105346057124806,10
egypt_control,2026-06-01,0.4611711639519095,14
egypt_control,2026-07-01,-0.0442935344853215,18
egypt_control,2026-08-01,-0.4962365964586528,11
gcc_inside,2024-01-01,0.21307845308403311,20
gcc_inside,2024-02-01,0.30554402280268406,9
gcc_inside,2024-03-01,0.07740675636873195,9
gcc_inside,2024-04-01,-0.4979317012911326,12
gcc_inside,2024-05-01,-0.1325809450506606,28
gcc_inside,2024-06-01,0.3487799477291466,31
gcc_inside,2024-07-01,0.47831333451645947,30
gcc_inside,2024-08-01,0.21831567581989048,27
gcc_inside,2024-09-01,0.07896650226817785,24
gcc_inside,2024-10-01,-0.1194799204173997,29
gcc_inside,2024-11-01,0.22653496445455246,21
gcc_inside,2024-12-01,0.3734384324395409,9
gcc_inside,2025-01-01,0.19728899504078742,21
gcc_inside,2025-02-01,0.24472442881285142,9
gcc_inside,2025-03-01,0.7388374430171638,22
gcc_inside,2025-04-01,0.7336733666486499,25
gcc_inside,2025-05-01,0.4157162280299573,29
gcc_inside,2025-06-01,0.5326098825173687,30
gcc_inside,2025-07-01,-0.02653227196562798,30
gcc_inside,2025-08-01,-0.3124631120317536,27
gcc_inside,2025-09-01,0.348168360693364,31
gcc_inside,2025-10-01,0.3713538316817008,27
gcc_inside,2025-11-01,0.19902423526383556,20
gcc_inside,2025-12-01,0.10489618989486632,13
gcc_inside,2026-01-01,-0.09892192661001299,23
gcc_inside,2026-02-01,0.1911208199028839,19
gcc_inside,2026-03-01,0.4674422823025082,19
gcc_inside,2026-04-01,-0.030701645668539085,8
gcc_inside,2026-05-01,-0.287743100596493,27
gcc_inside,2026-06-01,0.13374914998258894,28
gcc_inside,2026-07-01,0.779428831610577,27
gcc_inside,2026-08-01,0.3409003481267081,24
iran_coastal,2024-01-01,-0.46519080207911945,15
iran_coastal,2024-02-01,0.02182849870877898,12
iran_coastal,2024-03-01,0.3879543051185287,10
iran_coastal,2024-04-01,0.21121527118479838,10
iran_coastal,2024-05-01,0.2946406424785044,14
iran_coastal,2024-06-01,-0.15705965575685676,16
iran_coastal,2024-07-01,-0.5208753341154712,13
iran_coastal,2024-08-01,-0.33131443444393005,8
iran_coastal,2024-09-01,-0.07898968145365043,12
iran_coastal,2024-10-01,-0.39138671671827147,13
iran_coastal,2024-11-01,-0.5506103823256268,10
iran_coastal,2024-12-01,-0.7143616068956857,10
iran_coastal,2025-01-01,-0.307457979692687,14
iran_coastal,2025-03-01,-0.018422553539307777,12
iran_coastal,2025-04-01,-0.22063027415334777,13
iran_coastal,2025-05-01,-0.22513391703175692,13
iran_coastal,2025-06-01,-0.2529311434780342,14
iran_coastal,2025-07-01,-0.3591076881086661,13
iran_coastal,2025-08-01,-0.46791634484649364,13
iran_coastal,2025-09-01,-0.3006451355301488,10
iran_coastal,2025-10-01,-0.41691914863104224,15
iran_coastal,2025-11-01,-0.1629701367788835,13
iran_coastal,2025-12-01,-0.5543169690861566,5
