site_id,site,operator,control,n_cached,usable,n_scenes,core_strength_c
200,Fonterra Whareroa Hawera,Fonterra,0,767,True,279,4.68
201,Fonterra Clandeboye,Fonterra,0,378,True,144,4.39
202,Fonterra Darfield,Fonterra,0,388,True,167,2.36
203,Fonterra Edendale,Fonterra,0,687,True,176,3.23
204,Fonterra Te Rapa Hamilton,Fonterra,0,379,True,86,4.66
205,Fonterra Lichfield,Fonterra,0,1133,True,362,2.54
206,Fonterra Waitoa,Fonterra,0,400,True,129,6.25
207,Fonterra Pahiatua,Fonterra,0,374,True,65,3.77
208,Fonterra Kauri Whangarei,Fonterra,0,379,True,80,3.68
209,Fonterra Maungaturoto,Fonterra,0,377,True,106,3.34
210,Fonterra Edgecumbe,Fonterra,0,378,True,184,4.62
211,Fonterra Te Awamutu,Fonterra,0,379,True,121,2.81
212,Fonterra Takaka,Fonterra,0,378,True,192,4.47
213,Fonterra Stirling,Fonterra,1,685,True,212,2.55
214,Open Country Dairy Waharoa,Open Country,0,755,True,263,7.49
215,Open Country Dairy Awarua,Open Country,0,1005,True,299,1.46
216,Open Country Dairy Whanganui,Open Country,0,755,True,277,2.09
217,Open Country Dairy Horotiu,Open Country,0,379,True,126,3.46
218,Synlait Dunsandel,Synlait,0,1143,True,470,2.84
219,Synlait Pokeno,Synlait,0,379,True,123,3.74
220,Oceania Dairy Glenavy,Yili,0,378,True,157,4.81
221,Westland Milk Products Hokitika,Yili,0,759,True,294,3.14
222,Miraka Mokai,Miraka,0,762,True,292,1.5
223,Tatua Dairy Morrinsville,Tatua,0,381,True,131,4.56
224,Mataura Valley Milk McNab Gore,MVM,0,686,True,185,2.0
225,Danone Nutricia Balclutha,Danone,0,685,True,192,3.6
