start,end,state,n_scenes
2015-03-10,2015-03-10,ON,1
2015-03-26,2015-06-14,UNCERTAIN,4
2015-06-30,2015-07-16,OFF,2
2015-09-02,2017-07-05,ON,19
2017-07-21,2018-04-19,UNCERTAIN,3
2018-05-05,2018-05-21,ON,2
2018-06-06,2018-06-22,UNCERTAIN,2
2018-08-09,2018-08-25,ON,2
2018-09-26,2018-10-12,UNCERTAIN,2
2018-10-28,2019-09-13,ON,8
2020-02-20,2020-02-20,UNCERTAIN,1
2020-04-08,2020-04-24,OFF,2
2020-05-10,2020-05-26,UNCERTAIN,2
2020-06-27,2022-03-05,ON,14
2022-03-21,2022-03-21,UNCERTAIN,1
2022-04-06,2022-04-06,OFF,1
2022-04-14,2022-04-14,UNCERTAIN,1
2022-04-30,2022-05-08,ON,2
2022-05-16,2022-05-16,UNCERTAIN,1
2022-07-03,2022-07-03,OFF,1
2022-08-04,2022-08-04,UNCERTAIN,1
2022-08-12,2022-08-12,OFF,1
2022-08-28,2022-08-28,UNCERTAIN,1
2022-10-15,2023-10-02,ON,11
2023-10-18,2023-10-18,UNCERTAIN,1
2024-01-22,2024-03-26,ON,4
2024-04-11,2024-06-22,UNCERTAIN,4
2024-06-30,2024-08-17,ON,6
2024-08-25,2024-09-18,UNCERTAIN,3
2024-10-20,2025-03-21,OFF,6
2025-04-22,2025-08-28,UNCERTAIN,7
2025-09-05,2025-10-15,ON,2
2025-10-31,2026-02-12,UNCERTAIN,2
2026-02-28,2026-05-27,OFF,6
2026-06-28,2026-07-30,UNCERTAIN,3
2026-08-07,2026-08-23,OFF,3
