start,end,state,n_scenes
2015-01-15,2015-05-07,UNCERTAIN,2
2015-05-23,2015-07-26,OFF,3
2015-08-11,2015-10-14,UNCERTAIN,2
2015-10-30,2015-10-30,ON,1
2015-12-01,2016-01-18,OFF,4
2016-02-03,2016-03-06,ON,2
2016-04-07,2016-04-07,UNCERTAIN,1
2016-04-23,2016-06-10,OFF,3
2016-06-26,2016-06-26,ON,1
2016-07-12,2016-07-12,OFF,1
2016-07-28,2016-09-30,UNCERTAIN,3
2016-11-01,2017-09-17,OFF,11
2017-10-03,2017-10-03,UNCERTAIN,1
2017-10-19,2017-10-19,OFF,1
2017-11-04,2018-01-23,ON,3
2018-02-08,2018-04-13,OFF,5
2018-04-29,2018-06-16,UNCERTAIN,4
2018-07-02,2018-08-19,OFF,3
2018-10-06,2018-10-22,UNCERTAIN,2
2018-12-09,2019-09-23,OFF,8
2019-10-09,2019-10-25,ON,2
2019-12-28,2020-01-29,UNCERTAIN,2
2020-02-14,2020-08-24,OFF,12
2020-09-09,2020-11-12,UNCERTAIN,4
2020-11-28,2020-11-28,ON,1
2020-12-30,2020-12-30,UNCERTAIN,1
2021-02-16,2023-03-18,OFF,35
2023-04-11,2023-05-05,ON,2
2023-05-13,2023-06-22,UNCERTAIN,3
2023-06-30,2023-11-29,OFF,13
2023-12-07,2024-01-08,ON,3
2024-01-16,2024-02-09,UNCERTAIN,4
2024-02-25,2024-03-12,ON,3
2024-04-05,2024-05-23,UNCERTAIN,4
2024-05-31,2024-11-15,OFF,18
2024-11-23,2025-02-27,ON,7
2025-03-07,2025-03-07,UNCERTAIN,1
2025-03-15,2025-07-05,OFF,7
2025-07-13,2025-07-21,UNCERTAIN,2
2025-07-29,2025-11-26,OFF,9
2026-01-05,2026-02-14,ON,4
2026-03-02,2026-08-01,OFF,11
2026-08-09,2026-08-17,UNCERTAIN,2
